PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.432790137059766,0.432790137059766
PC2,0.1389971031988945,0.5717872402586605
PC3,0.11501750594838242,0.6868047462070429
PC4,0.058756319461521565,0.7455610656685645
PC5,0.05422877295135843,0.7997898386199229
PC6,0.052177892183128724,0.8519677308030517
PC7,0.040852430504978596,0.8928201613080302
PC8,0.038112789350745774,0.930932950658776
PC9,0.027838190820689338,0.9587711414794654
PC10,0.013404558920831557,0.972175700400297
PC11,0.009089655692162649,0.9812653560924597
PC12,0.0069110563506452555,0.988176412443105
PC13,0.004518430592573488,0.9926948430356785
PC14,0.0036560342592972684,0.9963508772949757
PC15,0.001685906226893762,0.9980367835218695
PC16,0.0010577172317904724,0.99909450075366
PC17,0.0004238868589287544,0.9995183876125888
PC18,0.00036477895049268424,0.9998831665630815
PC19,0.00011683343691892653,1.0000000000000004
