PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.3427897918630376,0.3427897918630376
PC2,0.16820796609193395,0.5109977579549716
PC3,0.09068397103806904,0.6016817289930406
PC4,0.08694242942505723,0.6886241584180979
PC5,0.055522697010466734,0.7441468554285646
PC6,0.048912188419390906,0.7930590438479556
PC7,0.04273081628776556,0.8357898601357211
PC8,0.03945287981706241,0.8752427399527835
PC9,0.032674730091301375,0.9079174700440849
PC10,0.024061912351646893,0.9319793823957317
PC11,0.019205830418809196,0.9511852128145409
PC12,0.01136926264712403,0.962554475461665
PC13,0.009854929567174295,0.9724094050288392
PC14,0.008290834520803717,0.9807002395496429
PC15,0.006262201140805293,0.9869624406904483
PC16,0.004913114775794191,0.9918755554662424
PC17,0.0027546202798807828,0.9946301757461232
PC18,0.002094329888807409,0.9967245056349306
PC19,0.0015245322101363062,0.9982490378450669
PC20,0.0010849213444347587,0.9993339591895016
PC21,0.0006660408104982785,0.9999999999999999
