PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.39443795576478113,0.39443795576478113
PC2,0.3097809153396377,0.7042188711044188
PC3,0.10527788790423658,0.8094967590086554
PC4,0.0826350474867687,0.892131806495424
PC5,0.04197472290892372,0.9341065294043477
PC6,0.03392583341253498,0.9680323628168827
PC7,0.015211976633143299,0.983244339450026
PC8,0.00664888703305753,0.9898932264830835
PC9,0.005899142266772564,0.9957923687498561
PC10,0.003540542047194056,0.9993329107970501
PC11,0.0006670892029499353,1.0
