,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
ppg_red_n_peaks,-0.3371524689027418,-0.09688529000774325,0.342341071683325,-0.1164101106370571,-0.832044030677979,0.07482719039110602,-0.13025771617722615,-0.16760498283590075,0.026243450495799247,0.04968052789414874,0.008998678986452988
ppg_red_peak_quality,0.11475857623548885,0.02338855931440983,0.7614652057966481,-0.4689775788490951,0.3780889030458737,0.026719774759358075,-0.05047643046112992,-0.19107044141910903,-0.05690509758108883,0.023550418213373014,-0.0006741342285991315
ppg_red_hr_std,-0.22882877537121857,-0.46208925157678593,-0.03702351796914659,0.05517524457231744,0.17189177027609034,-0.03618109441043635,0.16254619529618924,-0.1934812427309987,0.2740024233755804,0.5783503699620244,-0.4747812959843744
ppg_red_hr_range,-0.28869358600201106,-0.3910736197602318,0.1503489735288342,-0.10862290030488218,0.024455756975312753,0.06998085198665192,0.542770803762073,0.5804553435296882,-0.17283206545688154,-0.2447045861161615,0.0503832984036163
ppg_red_hr_median,-0.43603968479663263,-0.133433799417465,-0.05908275889473288,-0.13432770185919696,0.225378741223522,-0.05327258817207591,-0.5033322844986231,0.18035435215869774,0.5676176880405224,-0.30568097167136526,0.12407573390647676
ppg_red_sdnn,0.32935641439782104,-0.34754657527337685,0.11976588840356656,0.2734465080187829,-0.054591505344197024,0.17857571472231876,-0.08067417895484859,-0.1899008800857904,0.05632413560003289,-0.604443945094845,-0.48544185313315896
ppg_red_mean_ibi,0.43742487693654264,0.12006251958840229,0.1902787892448615,0.0824291403765397,-0.17774157137461982,0.08456815912291021,0.3239168428264828,0.2048356661925959,0.7242588554635017,0.10705110717134747,0.17207395909933149
ppg_red_cv_ibi,0.055344532293113466,-0.5189108573327285,-0.0014259678760060262,0.22789759443538243,0.09216751423748981,0.06297979310413745,0.05390327089663289,-0.41163588649091737,-0.03149265988234987,-0.001322976776293966,0.6999461760585298
ppg_red_rmssd,0.34641298393852726,-0.3244513284897026,0.1449034570222597,0.1386123883893355,-0.06522144349963849,0.04618390883668978,-0.5386433551812094,0.5268860937097417,-0.19822452076353778,0.3462458297597085,0.03474807501082219
ppg_red_pnn50,0.28295015486559033,-0.25984964799623556,-0.16670042038977864,-0.3975842836579023,-0.17293384049109936,-0.7886429983859553,0.033724628883155014,-0.03222059648085131,0.02399639412527407,-0.10851224430516095,-0.012842659834962767
ppg_red_pnn20,0.21066453578310587,-0.1689200165069548,-0.41972496091617245,-0.6502538095237862,-0.08114167525364233,0.5635107268036929,-0.022588408521893484,-0.048972917511835364,0.01873839308219473,0.02629880682801794,0.0027881211330783866
