,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
ppg_green_min,0.050083476853645274,0.5896189436796387,-0.12106885154495377,0.0037176240866213166,-0.04204729291835491,0.03351043929835455,-0.017734626617329573,-0.3944775379915755,0.1739502844121006,0.09277621339003188,0.1078356742906252,0.00600481766703277,-0.17775998775919027,-0.05104906224719112,-0.2149003741838134,0.5809444441613841,-0.08909396151509598
ppg_green_iqr,0.3331185583105956,-0.12556991767765235,-0.2849280652471549,-0.056492382608872814,0.031187999164045157,0.0666656234513963,-0.031100115953356725,-0.06997025909748744,0.04686222205365773,0.07294568631464128,-0.35348360655835626,-0.07965529571959376,0.299788333791493,0.325780667612228,-0.6584593241607003,-0.09497486947775678,-0.014178014298598504
ppg_green_mad,0.3300220053417169,-0.11209745405624719,-0.2750696763635792,0.0030747621367708555,0.04379676313148792,0.04836603602440964,-0.016200555736643103,-0.043608426786322964,0.020009658413383917,0.002814256479678993,-0.5783579982569197,-0.11668506998662308,-0.5549713467629914,-0.2695019793272375,0.25856797492941225,0.005556246914920161,0.0197687801829195
ppg_green_skew,0.05660399162720247,-0.190913467373235,0.31242642421290073,0.1779166038628891,-0.2765465439925507,-0.25092662322491865,-0.5867085764088187,-0.5275181144581478,0.06369660903438198,-0.1158145541188372,-0.1139332416139452,0.026569125837007497,0.020740378145314285,0.15528641915651895,0.10176285109490711,-0.04612563428489695,0.030898438125001815
ppg_green_kurtosis,0.11667402023350483,0.24295495368872816,0.3633819506963251,-0.16648269995386578,-0.16953587641588605,-0.04096538898624923,-0.18720228740505104,0.544408486617252,0.5846655291546614,-0.018948216549133277,-0.23084792575201366,0.0020403838082573623,0.011136979046305617,0.08003649770618577,0.009034848995289786,0.05489873600453457,-0.025261471584192455
ppg_green_signal_energy,0.18740054443015944,0.5136814655938341,-0.1960711613716435,-0.008942853741654233,-0.0075228173417291365,0.06271198266402012,0.048371319879327745,-0.23585088338562574,0.2035602548285894,0.016402953744773543,0.10463436866308151,0.008406164310830239,0.10854957863801933,0.04780642244502565,0.23994311069859223,-0.6834330954180771,0.09532521855003896
ppg_green_p90_p10,0.352757173701646,-0.09444354797093021,-0.23244068662772993,-0.03855727240353499,0.0007044368557101612,0.0451729867371819,-0.039539615057155135,0.000513863690940626,0.05274562800010626,-0.058757737812845476,-0.0033939838966885604,0.010557200535694583,0.6464196190420776,-0.14985167582145636,0.4757900518453762,0.35376614700592623,-0.09656428402580998
ppg_green_shape_factor,0.3132258787555668,-0.2712821325562214,-0.09138466441361871,-0.0032498818822368704,-0.009803000512568627,0.038211433862713216,-0.015410039567868131,0.049889813046908246,0.167268047815736,0.5528177534916862,0.3985285669175631,0.10243644195972174,-0.2707288529879171,0.44179550968731185,0.17770982930013426,0.08024000357413101,0.07905834579081607
ppg_green_clearance_factor,0.34902756691248205,-0.17902769067977917,0.06920075308761606,0.06591864025805705,-0.09063450683697875,-0.055539462147863386,-0.11980147382811303,0.027599164864867128,0.14975814189473072,0.0896198464782343,0.37890006472934634,0.023618642572461834,-0.025902559484351932,-0.6903402187772543,-0.3448076291011115,-0.1656297160899176,-0.1115038024586326
ppg_green_mean_cross_rate,0.12274259342753453,0.33845512182076387,-0.03389972039654087,0.43656584473376825,-0.2015892014033136,-0.3120732618864375,-0.1663646724747144,0.33532650991751517,-0.49419970766012755,0.36577258901567,-0.1047888065218444,-0.07202260917486264,0.07678132985548704,-0.015302024477714097,0.004641307020205955,-0.005955192419457258,-0.010818515916886462
ppg_green_tke_std,0.17968551797269877,-0.01972279023890113,0.47576929500111226,0.2625309673450542,0.1940001069373436,-0.03931704734896047,0.44226463196254423,-0.18760141882321058,0.10226546206306425,0.15851900898354024,-0.11221755682675184,-0.33816461471809034,0.13403597714676535,-0.06776362505224841,0.002693930490571463,0.07925836994040461,0.459009521030881
ppg_green_tke_p95_abs,0.3280950998168153,0.048100272044713246,-0.13920160882559318,0.21993779039925382,-0.030453569438938278,-0.10129939839008882,0.0114962223426268,0.19471079975526004,-0.06802492747646045,-0.6382741681370742,0.23325962906072967,0.1913033339044254,-0.15658599890362343,0.1600605114727732,-0.07663493090806771,0.11233592017382482,0.4487735113851129
ppg_green_dx_mean,-0.0106636448915024,0.041995806719999966,0.12510576418576758,0.4240068480284996,0.17144953903772506,0.815316816290648,-0.3170899933995901,0.0730259198108034,-0.03794624761211782,-8.378649180089554e-05,-0.006570788645658379,0.03189506644005094,0.010558759479872845,-0.001149259764401091,-0.004650796554823532,-0.0003430006320543801,-0.00625493681972415
ppg_green_ddx_mean,-0.008455756649794791,-0.0778963015420984,0.002045157619721646,0.02196494488240645,-0.8700993486542383,0.31767927225922715,0.3585736829545636,-0.04896144360118218,-0.04492510046291082,-0.02498021838799966,-0.03226228431172337,-0.023432039750242464,-0.0028623689964455243,0.0075999506610357394,0.0030918923635394452,0.0025715840395207747,0.009716100349789246
ppg_green_ddx_std,0.3110550886856053,0.01898104187037673,0.2776192073400677,0.2399559490527276,0.11639665884228557,-0.06614079393928202,0.32683925542542325,-0.04633585213421447,-0.05334223275962215,-0.23108045942295768,0.014533699626600916,0.0652298281669754,-0.1020280451466155,0.21665930540242517,0.04071353439133218,-0.05703930270147229,-0.7199775629907684
ppg_green_dx_kurtosis,0.24880109393122538,0.1156354360336575,0.3446455157953812,-0.39014655871855203,0.04667160080323464,0.11829632938670569,0.04053494303554644,-0.0878375510067704,-0.3529129908294669,0.13395478767844607,-0.16485164905086067,0.6561251759318456,0.025421376763474408,-0.07464452367120046,-0.019632618325125934,-0.0018403725867022225,0.14637677754241918
ppg_green_ddx_kurtosis,0.2597374395933661,0.10625368345829346,0.1866400957321113,-0.4832698249991503,-0.018896094224095872,0.15396631146370215,-0.19923761438512375,0.030239996249216083,-0.36940317268312667,-0.12904635633443295,0.2069934379173249,-0.6128615216262121,-0.08257554866810721,0.09272800813300774,0.02359144634314637,0.002784569193027805,-0.025512493704962363
