feature,pca_energy_score
acc_x_dyn__max,0.15984434916805057
acc_y_dyn__variance_of_absolute_differences,0.1586511764600465
acc_x_dyn__katz_fractal_dimension,0.1581761871532912
acc_x_dyn__quantile_0.3,0.15722417521246307
acc_z_dyn__lower_complete_moment,0.15681634869398375
acc_z_dyn__variance_of_absolute_differences,0.15619954270552297
acc_y_dyn__avg_amplitude_change,0.15596539629433542
acc_x_dyn__approximate_entropy_0.9,0.1554015131188666
acc_x_dyn__quantile_0.9,0.15435909284918892
acc_x_dyn__harmonic_mean_of_abs,0.15423805441173719
acc_z_dyn__harmonic_mean_of_abs,0.15417026816660356
acc_z_dyn__sum_of_absolute_changes,0.15393061802990818
acc_x_dyn__quantile_0.4,0.15372595009555817
acc_z_dyn__katz_fractal_dimension,0.15207035957203616
acc_x_dyn__variance_of_absolute_differences,0.15029704465630747
acc_y_dyn__quantile_0.3,0.14855084428765963
acc_z_dyn__quantile_0.4,0.1476471274973791
acc_x_dyn__cardinality,0.1462231041977425
acc_y_dyn__katz_fractal_dimension,0.1437524908650121
acc_z_dyn__approximate_entropy_0.1,0.14363549376832557
acc_z_dyn__quantile_0.6,0.14274262176442026
acc_x_dyn__quantile_0.6,0.14210293764881898
acc_y_dyn__quantile_0.4,0.1413358330232171
acc_x_dyn__approximate_entropy_0.1,0.14125974629103322
acc_z_dyn__sample_entropy,0.1410736338693551
acc_x_dyn__sample_entropy,0.13988159242944376
acc_y_dyn__harmonic_mean_of_abs,0.13596910449481187
acc_y_dyn__sample_entropy,0.1276548490779906
acc_y_dyn__tsallis_entropy,0.12243415430076104
