,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
ppg_infra_hr_range,0.33422375069977506,0.33651492048706444,0.18559975043135524,-0.05285310628649676,-0.12111030288216636,0.059854515931826176,-0.4965668901868169,0.30549417590425143,-0.5027905697623302,-0.09997695666988554,-0.34185097508077694
ppg_infra_hr_std,0.30269331749271833,0.3978203076827128,0.04230271629756673,0.14913485389821818,-0.08866356299842383,0.05833371317662166,-0.19669626328410872,-0.08951848356493748,0.5071191182446636,0.6410507584917196,0.0014596056961388244
ppg_infra_hr_min,0.4315705010732824,-0.18796168176764474,-0.10383370650580045,-0.04623012873453659,-0.1347643461706794,-0.10727808632523834,0.4712409352330414,0.3153952595665422,0.28177654745512987,-0.11138382188269323,-0.5678750402220434
ppg_infra_pnn20,-0.11863673262535858,0.26826568864610084,-0.45512624235302535,-0.6476694254188832,-0.21358768660625746,0.4842225084840859,0.07621661093419602,0.0008071467403953246,0.0368888191303256,-0.009039820700782759,-2.589749624631625e-05
ppg_infra_rmssd,-0.13135219535085554,0.45792144133858514,0.09818788263159146,0.22854869046273452,0.19455686034399125,0.13234021607249666,0.6389984442133886,0.1405773199356018,-0.39786632036428105,0.2635038322039076,0.00011126636939117566
ppg_infra_mean_ibi,-0.4541109141353264,0.07661231146110291,0.1371278092192122,0.07758808755454032,0.18688939787376915,0.1546853995990112,-0.16314735310380152,0.7207143156223773,0.38443305011986345,-0.10197873595299416,0.000218948778480734
ppg_infra_pnn50,-0.11981701028299833,0.3871064923902402,-0.2271906989799124,-0.31746342174773917,0.1838233730992686,-0.8022902612585477,-0.01629452199019444,0.05419624508468206,0.04381645860768266,-0.028469032436233225,4.07008658785218e-05
ppg_infra_cv_ibi,0.09684994911132641,0.4970927694176619,0.07067901970007043,0.25725667411245434,0.032159933549665405,0.12920651068758648,0.05805352048658296,-0.3098369113564644,0.29451638426595755,-0.6844739687495082,-0.00035304684102728593
ppg_infra_n_peaks,0.3388281130113666,-0.08812622963898346,0.028834948602705437,-0.26059822193451126,0.8724877994277955,0.2009585096572354,-0.05279552761652013,-0.0545560853931326,0.035919629009073764,0.00357572909984696,0.0006061484425427574
ppg_infra_hr_max,0.4793119948734607,0.010479608107301744,0.004936527107996597,-0.05863812761898571,-0.15795968467232496,-0.05420500858366399,0.13090603102046136,0.37864918465529396,-0.016908846647971803,-0.1317117938307775,0.7487672838804604
ppg_infra_peak_quality,-0.06777049163173772,0.02846809560975574,0.8123607697950835,-0.5067387256086824,-0.14106170055479028,-0.04366454383781606,0.16840238372759592,-0.12126872889936291,0.1138013391945051,0.007787469918383328,0.0008479189846736127
