PC,feature,abs_loading
PC1,acc_z_dyn__sum_of_absolute_changes,0.22945572481595833
PC1,acc_x_dyn__quantile_0.3,0.22936946439504588
PC1,acc_y_dyn__avg_amplitude_change,0.2206177588153717
PC1,acc_x_dyn__quantile_0.9,0.21915119762980043
PC1,acc_y_dyn__quantile_0.3,0.20809043541218544
PC1,acc_z_dyn__quantile_0.4,0.206903911552693
PC1,acc_z_dyn__quantile_0.6,0.20333407197451062
PC1,acc_x_dyn__harmonic_mean_of_abs,0.20164802339506235
PC2,acc_y_dyn__sample_entropy,0.31382890789842527
PC2,acc_x_dyn__sample_entropy,0.30064333461294074
PC2,acc_x_dyn__approximate_entropy_0.1,0.29377241780590974
PC2,acc_z_dyn__approximate_entropy_0.1,0.2913029964454129
PC2,acc_z_dyn__sample_entropy,0.2871806649234471
PC2,acc_x_dyn__approximate_entropy_0.9,0.22314102571300504
PC2,acc_y_dyn__katz_fractal_dimension,0.21821790583405778
PC2,acc_x_dyn__katz_fractal_dimension,0.21608445189618208
PC3,acc_z_dyn__variance_of_absolute_differences,0.3983564313677818
PC3,acc_y_dyn__quantile_0.4,0.31041576977473007
PC3,acc_x_dyn__variance_of_absolute_differences,0.28420757627547627
PC3,acc_y_dyn__tsallis_entropy,0.2803188071527709
PC3,acc_z_dyn__lower_complete_moment,0.275115253430882
PC3,acc_y_dyn__quantile_0.3,0.25591971263435964
PC3,acc_y_dyn__harmonic_mean_of_abs,0.25010076504330647
PC3,acc_x_dyn__approximate_entropy_0.9,0.24141023111069454
PC4,acc_x_dyn__cardinality,0.5569819443173676
PC4,acc_y_dyn__tsallis_entropy,0.5290340507813718
PC4,acc_x_dyn__max,0.3171973107277143
PC4,acc_z_dyn__lower_complete_moment,0.24214656659586317
PC4,acc_z_dyn__variance_of_absolute_differences,0.19226071993640573
PC4,acc_z_dyn__quantile_0.6,0.19189116696422218
PC4,acc_x_dyn__quantile_0.9,0.1632364750351656
PC4,acc_y_dyn__variance_of_absolute_differences,0.15692118210932238
PC5,acc_y_dyn__avg_amplitude_change,0.32023650274616655
PC5,acc_y_dyn__variance_of_absolute_differences,0.3158619343277276
PC5,acc_y_dyn__katz_fractal_dimension,0.30751929698871616
PC5,acc_z_dyn__quantile_0.6,0.2653866577011042
PC5,acc_z_dyn__harmonic_mean_of_abs,0.2608433751752003
PC5,acc_x_dyn__katz_fractal_dimension,0.25162403909168707
PC5,acc_x_dyn__approximate_entropy_0.1,0.24444302610484453
PC5,acc_y_dyn__quantile_0.4,0.23345827865827587
PC6,acc_x_dyn__quantile_0.4,0.4061876794354044
PC6,acc_x_dyn__variance_of_absolute_differences,0.2941233898676933
PC6,acc_x_dyn__cardinality,0.28410613880956703
PC6,acc_z_dyn__lower_complete_moment,0.2639516896944622
PC6,acc_y_dyn__tsallis_entropy,0.2511488338674481
PC6,acc_y_dyn__harmonic_mean_of_abs,0.2503108395207544
PC6,acc_x_dyn__quantile_0.6,0.23664130123117882
PC6,acc_y_dyn__quantile_0.3,0.22935663224958122
PC7,acc_z_dyn__quantile_0.6,0.36931949151952315
PC7,acc_x_dyn__variance_of_absolute_differences,0.36259717572620365
PC7,acc_x_dyn__quantile_0.4,0.32341574026010234
PC7,acc_z_dyn__variance_of_absolute_differences,0.2995713927025436
PC7,acc_y_dyn__quantile_0.4,0.2521990250245809
PC7,acc_x_dyn__katz_fractal_dimension,0.23744908790340208
PC7,acc_z_dyn__approximate_entropy_0.1,0.22063878470099796
PC7,acc_x_dyn__approximate_entropy_0.1,0.21787176554084214
PC8,acc_z_dyn__quantile_0.4,0.5457888626081587
PC8,acc_z_dyn__harmonic_mean_of_abs,0.47011002720063333
PC8,acc_y_dyn__variance_of_absolute_differences,0.3479151410076895
PC8,acc_x_dyn__quantile_0.4,0.21290262521901174
PC8,acc_x_dyn__approximate_entropy_0.9,0.2035301711881889
PC8,acc_z_dyn__lower_complete_moment,0.18812169407112792
PC8,acc_y_dyn__quantile_0.4,0.18603075157128685
PC8,acc_x_dyn__quantile_0.3,0.1701692088796612
