,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
acc_z_dyn__lower_complete_moment,0.1634995494445315,0.19414943608640187,-0.275115253430882,0.24214656659586317,-0.21384625520200762,0.2639516896944622,0.17770725301946783,0.18812169407112792,0.13837272464344325,0.05056404845153951,-0.13407968461529002,0.12859163664379827,0.0006188303337793548,0.15284791973908243,-0.10582087610545743,-0.24982608270558504,-0.14175583625293425,-0.01700969531234165,-0.18740678732893157,0.003898167425666275,0.4845043759763448,0.22647148252706903,-0.21389881650858666,0.1663223457788383,0.02361097525108797,0.20905333346685465,0.06648177327485492,-0.014290006800893481,0.042828405319291794
acc_x_dyn__quantile_0.3,-0.22936946439504588,-0.09187758865698409,-0.17691456001149664,0.10432082354026455,0.11211075926602464,0.1647119263128592,-0.12347629404906364,-0.1701692088796612,0.043827558203842515,-0.05531736474565325,0.038420058436182125,0.028853134871830534,0.04822980144602338,0.016289169591008467,0.24548621284558447,-0.008561206624151387,-0.0500509320637129,0.10172423827252171,-0.08731154840993027,0.029612721786705088,-0.011189315102988151,0.20039244655759247,-0.056115540433336324,-0.14121425043999836,0.06822652451067872,0.15177787177899105,-0.7878546817425087,-0.06386949415838304,0.07371898851793754
acc_y_dyn__variance_of_absolute_differences,0.17931246026850273,0.17836316138100186,-0.18078865947081826,0.15692118210932238,0.3158619343277276,0.17492450255159817,-0.05054021028174575,0.3479151410076895,-0.058273623987833124,-0.10400939267753964,-0.016574145234286474,-0.12777627705278893,0.013138225264822178,-0.43484626956442485,0.13579998757815265,0.18036121675512315,-0.09920100255123969,-0.1754026786487716,-0.18165523796301697,0.07798687171625993,-0.1901207422312607,0.07597173272261741,0.2108690862109957,0.2788127782474648,-0.04890975276135483,0.030546447118950316,-0.03301446530202715,0.01816404919418394,-0.3242756401190988
acc_y_dyn__quantile_0.3,-0.20809043541218544,-0.13410819229334509,-0.25591971263435964,0.026319834043555652,-0.21349237491913073,-0.22935663224958122,0.07381236083680155,-0.03529491859330348,-0.08741128110002921,0.024946318893084296,-0.032606246961059564,-0.06238297913425009,0.247498394691348,-0.05017059109184601,0.014335836694703301,-0.025806178348875053,-0.018950855596970382,0.08403683814895338,0.08660745450021687,-0.03515826409806574,-0.2878275426449656,0.0266564081669342,0.16800226572319604,0.40315232529152634,-0.1472961217082004,0.5314449918630024,0.1038368481948737,0.04545915075280572,0.28694555853080106
acc_x_dyn__katz_fractal_dimension,0.1870669812879705,-0.21608445189618208,-0.1593218454029824,-0.011554881213029063,0.25162403909168707,-0.08809807017253722,0.23744908790340208,-0.15794394658999775,-0.021277130978294603,0.07041612698514911,-0.25065408302283115,-0.08805885569787276,-0.06061027012451439,0.17221261023332063,-0.09967119550346654,0.16059617821843578,0.27554261025317894,0.11975913060760492,-0.06713632370135504,0.05167235503126636,0.30490806713103696,0.16479875602649405,0.5902400750690093,-0.11722839066097478,-0.1085373245917044,0.04234554665668058,-0.013598683114483385,-0.02697193225444331,-0.03406392865431938
acc_x_dyn__approximate_entropy_0.9,0.1812018943671051,-0.22314102571300504,-0.24141023111069454,-0.09533605179366633,0.15342608989531048,-0.016754542980867215,0.1419151546500488,-0.2035301711881889,0.012218925609744668,0.06948376459400227,-0.30019130755723955,-0.16741161781662386,-0.11203535937461018,0.1536718598041225,0.06903155999725472,0.2628602169713126,-0.07458292811989502,-0.06229402523824601,-0.28906553402086077,-0.22396141086151639,-0.21471278097074945,-0.08839921272711648,-0.4840118573118398,0.1455313214042714,-0.13799213114761322,-0.12935577575896123,0.03880719235202687,-0.19478247261039447,0.06107569645341487
acc_x_dyn__max,0.17387793335439036,0.19002067199707107,-0.06041685172889901,-0.3171973107277143,-0.23114179806833948,-0.16625208079882137,-0.17756224331009152,-0.012785994562915553,0.3507784320604927,0.010471826054080043,0.23859068756880256,-0.13951609697114672,-0.03253817646921779,0.039017599685556535,0.041568536685393856,0.24458251411540463,-0.44377329856618564,0.3330474400676307,-0.17964379736422523,-0.14617922630560573,0.12385846385375714,-0.0315110388237286,0.23394493295444435,0.06874498743903858,-0.06627347554878697,-0.0730000132995867,-0.07464063791901243,-0.004943378600603387,0.018938745777515573
acc_z_dyn__sum_of_absolute_changes,0.22945572481595833,0.12887016972111706,-0.17814260016798403,0.04246945490101015,-0.014604493787107896,-0.13277000562964428,0.04287166760158928,-0.08882844478234697,-0.040655027177282164,0.028378720954045176,-0.04584098658587028,-0.023804060635936847,-0.11461608870892527,-0.013214036697806067,-0.10526447640387515,-0.1554155987572111,-0.05690406780488399,0.2340492991533853,0.157978321357101,-0.16478229672170577,-0.20133392402752717,-0.1320283693553397,-0.13187202165795023,-0.4111144234835426,-0.03258471604530869,0.4342467410403391,-0.010157511215350495,0.0720653201664665,-0.5162692700667121
acc_x_dyn__quantile_0.9,0.21915119762980043,0.147093899128535,0.059586051196817445,-0.1632364750351656,-0.11657446325459792,-0.12723314658172064,-0.0484872967207915,0.036896996840468495,0.13453465097138767,0.1910967619075694,-0.046769616800304344,-0.15545458146750982,0.020941312000385126,-0.016123220966625676,-0.2651043160968484,-0.06056651725489269,0.1526385570768087,-0.276511435577849,0.02560907374937668,-0.18251863667611742,-0.3163158211917228,0.6152560904744407,0.011682454191813733,-0.0664909183806638,0.26419279131664175,-0.03214455248801445,-0.1114665803220407,0.0057368300252751275,0.10422557164330991
acc_y_dyn__avg_amplitude_change,0.2206177588153717,0.13017478790827228,0.03458648051584347,0.021835543679426944,0.32023650274616655,0.13078667682632794,0.09351742558695371,0.1340156664881984,0.021421011474056336,0.0014510936919466023,0.11572484776235904,-0.004014507430590105,-0.11534046818242083,-0.26885240697573654,-0.08956702778366375,0.09191349506664663,-0.041471530445995095,0.12132596027340327,-0.004859995071929825,-0.002018737294407714,-0.029158358422773447,-0.10801544964747259,-0.06956777816599125,-0.35441406088264005,-0.0428999702157753,0.23155962036864366,0.07211282019813256,0.022264123057801052,0.6706951555336561
