PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.5912808823356233,0.5912808823356233
PC2,0.14594468001268826,0.7372255623483115
PC3,0.05524678207519258,0.7924723444235041
PC4,0.049112391639329914,0.841584736062834
PC5,0.033117226981507056,0.8747019630443411
PC6,0.021328696683467346,0.8960306597278085
PC7,0.015001320602155721,0.9110319803299642
PC8,0.014182960633203318,0.9252149409631676
PC9,0.010408276271687934,0.9356232172348555
PC10,0.009016454643476116,0.9446396718783316
PC11,0.007600407108337584,0.9522400789866692
PC12,0.007263063809718349,0.9595031427963875
PC13,0.006162417047958058,0.9656655598443455
PC14,0.005118293909159376,0.970783853753505
PC15,0.004490116022805994,0.975273969776311
PC16,0.004069252386997857,0.9793432221633088
PC17,0.003422276465282894,0.9827654986285917
PC18,0.0027867235524014627,0.9855522221809933
PC19,0.0024307364395691907,0.9879829586205624
PC20,0.002272891640769914,0.9902558502613323
PC21,0.001952320247244674,0.992208170508577
PC22,0.0016721955412448773,0.9938803660498219
PC23,0.0015693232553401354,0.995449689305162
PC24,0.001468540241314455,0.9969182295464765
PC25,0.0012364256182232003,0.9981546551646997
PC26,0.0008963258554690106,0.9990509810201688
PC27,0.0005700536582142494,0.999621034678383
PC28,0.00037896532161731014,1.0000000000000004
