,acc_x_dyn__harmonic_mean_of_abs,acc_x_dyn__quantile_0.4,acc_z_dyn__approximate_entropy_0.1,acc_z_dyn__quantile_0.4,acc_x_dyn__sample_entropy,acc_y_dyn__harmonic_mean_of_abs,acc_y_dyn__sample_entropy,acc_z_dyn__sum_of_absolute_changes,acc_y_dyn__avg_amplitude_change,acc_z_dyn__quantile_0.6,acc_z_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.6,acc_z_dyn__sample_entropy,acc_y_dyn__variance_of_absolute_differences,acc_x_dyn__max,acc_y_dyn__quantile_0.4,acc_y_dyn__tsallis_entropy,acc_y_dyn__katz_fractal_dimension,acc_x_dyn__cardinality,acc_x_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.3,acc_x_dyn__quantile_0.9,acc_z_dyn__harmonic_mean_of_abs,acc_x_dyn__approximate_entropy_0.1,acc_y_dyn__quantile_0.3,acc_z_dyn__lower_complete_moment,acc_x_dyn__katz_fractal_dimension,acc_z_dyn__katz_fractal_dimension,acc_x_dyn__approximate_entropy_0.9
acc_x_dyn__harmonic_mean_of_abs,0.0,0.7688620125810629,0.40431629244930645,0.6731396103935264,0.42785490690893513,0.6278578209380236,0.354757810325942,0.6760784440413529,0.6747885677027268,0.6018840625092218,0.40171588966883215,0.7356242455328715,0.4507813987455122,0.4999708639261988,0.5964779992906959,0.6725696025330147,0.30129940593830773,0.39566033348793667,0.2761424134508408,0.4798975232835583,0.846860856143919,0.7628918629429433,0.5904416090912783,0.3758318573341375,0.7139647841839528,0.44546877916746713,0.42193992390086116,0.45039626550611633,0.3804538051983069
acc_x_dyn__quantile_0.4,0.7688620125810629,0.0,0.4334073327205569,0.6026821324258402,0.46266233059757583,0.5632794733616024,0.3818229868348354,0.6967356441481721,0.6128343382339804,0.6341729580219196,0.3808501364278641,0.4748843086218957,0.4958989956893212,0.4262455140131905,0.607549296113914,0.5786596380948731,0.3070342067440262,0.4475048504785026,0.2841950725221814,0.49170992181383266,0.8843229507626624,0.7448405582383439,0.5453208968792934,0.40108777870785306,0.5875437860201572,0.42654647628361336,0.476714508734034,0.49281049950368233,0.42082297608256874
acc_z_dyn__approximate_entropy_0.1,0.40431629244930645,0.4334073327205569,0.0,0.41167360494510635,0.8513723490812053,0.3227121736435211,0.8249103624519712,0.3750908668060727,0.33420998473764824,0.39253618895260445,0.15059102971371988,0.3573484875990421,0.895369004058578,0.19614181847390805,0.21915699861453317,0.3296525637616798,0.47377005822534285,0.6095910640200761,0.5293404720725219,0.1959601899111471,0.4652906079712776,0.3758187596272186,0.39031607165435755,0.8805157936650306,0.34097239738345003,0.16779738828626609,0.6391838447123145,0.6651761241511027,0.6517884040161572
acc_z_dyn__quantile_0.4,0.6731396103935264,0.6026821324258402,0.41167360494510635,0.0,0.4417351068040186,0.6155931120921893,0.3552321320078445,0.7857336535478406,0.6837828012846547,0.6143673537276246,0.5779766250706928,0.6673680249921436,0.450385367848705,0.5385090679803747,0.5871237518706268,0.6805523578765058,0.2998063489092638,0.4227789138576237,0.29267774269948205,0.6035365567452513,0.7310145692271104,0.7368901734768746,0.7347986614554322,0.38330738057228025,0.6805091186215896,0.49215200816499055,0.49185597331949216,0.4595523194447522,0.47658575252917934
acc_x_dyn__sample_entropy,0.42785490690893513,0.46266233059757583,0.8513723490812053,0.4417351068040186,0.0,0.3412701118074164,0.8761479561571607,0.4349857724200327,0.39793795076988353,0.4371592693017347,0.2017182221888165,0.38319269040895954,0.8980359471779825,0.25692840412068024,0.1469406635959829,0.3498887269479596,0.4680647894385051,0.6928551651690094,0.46223282786483355,0.20334333582545153,0.4847150883616552,0.3439852415115594,0.4169959179566084,0.8978172569608541,0.370775428405632,0.22452112410792238,0.7753934570913317,0.7180115373073644,0.7782788104737489
acc_y_dyn__harmonic_mean_of_abs,0.6278578209380236,0.5632794733616024,0.3227121736435211,0.6155931120921893,0.3412701118074164,0.0,0.26871293897338544,0.5943888655954583,0.7368979519919091,0.5808384814393135,0.350533634400999,0.6249355498908711,0.3550160413766617,0.5769624863047568,0.5079089280555875,0.7048048327236245,0.28426355127174896,0.36142529990017463,0.23553143114862876,0.41835152918714225,0.6993577338144354,0.6576754364979588,0.5876265178412857,0.2918171238482332,0.7963811843231023,0.45964455164229084,0.3835758968367117,0.3506089207638978,0.3306245119451133
acc_y_dyn__sample_entropy,0.354757810325942,0.3818229868348354,0.8249103624519712,0.3552321320078445,0.8761479561571607,0.26871293897338544,0.0,0.32232103230754006,0.2934754995189874,0.3628448562463613,0.14110051122701323,0.3128431613707533,0.8515791877889768,0.15346632443921776,0.1299223351900862,0.3092142864762748,0.5036620189771938,0.7203711809856483,0.4738355488995988,0.17592041966924357,0.3939159877458393,0.28698249666810594,0.3483147878164446,0.8239737989959912,0.30444737199404565,0.1655405459946346,0.6567239486379113,0.652675013466256,0.6630114113524139
acc_z_dyn__sum_of_absolute_changes,0.6760784440413529,0.6967356441481721,0.3750908668060727,0.7857336535478406,0.4349857724200327,0.5943888655954583,0.32232103230754006,0.0,0.8262783974143817,0.8017126457970639,0.8025553260026268,0.6837542125223021,0.4433125458378328,0.7311333300767748,0.7249457926135933,0.6088249441908328,0.25630655401927877,0.5053007071087585,0.34362290468521145,0.7896612657539996,0.8106836126352223,0.836558882015008,0.7337665525422622,0.35740309550469107,0.689275279083303,0.7429614422950962,0.5818463759108694,0.5635108822455376,0.5777240871407668
acc_y_dyn__avg_amplitude_change,0.6747885677027268,0.6128343382339804,0.33420998473764824,0.6837828012846547,0.39793795076988353,0.7368979519919091,0.2934754995189874,0.8262783974143817,0.0,0.6834588108935326,0.5767241735291266,0.7666505025081698,0.4401178070890352,0.8610823865472401,0.5947091139416166,0.7381800751726331,0.25447257482210517,0.554629941978336,0.28000431253094193,0.6222795872851344,0.7929775234654978,0.7609907802691527,0.647518149044462,0.2993543019231565,0.8904235254972528,0.6142765339322531,0.5467907431863065,0.5331172384591074,0.48400923193176143
acc_z_dyn__quantile_0.6,0.6018840625092218,0.6341729580219196,0.39253618895260445,0.6143673537276246,0.4371592693017347,0.5808384814393135,0.3628448562463613,0.8017126457970639,0.6834588108935326,0.0,0.574733210063285,0.600463301269397,0.4271635553233894,0.5956860312980397,0.5826320546713725,0.4794854913853088,0.30178560084025474,0.3874761746241019,0.2685830695497505,0.5667578277610841,0.7239939526986244,0.691380306089901,0.8085132873824885,0.38136552970538823,0.6220658704860694,0.7991100418384919,0.45883573652048465,0.4310723618400942,0.44079319205794976
acc_z_dyn__variance_of_absolute_differences,0.40171588966883215,0.3808501364278641,0.15059102971371988,0.5779766250706928,0.2017182221888165,0.350533634400999,0.14110051122701323,0.8025553260026268,0.5767241735291266,0.574733210063285,0.0,0.4467625961212704,0.17862798469540034,0.7285904009765772,0.5391518031743738,0.37351394653102304,0.09823840593924586,0.2652271463458025,0.18520140440144384,0.8283571698989153,0.478378272382665,0.5687065967305643,0.5177655015343895,0.15218615184671808,0.4265966300115225,0.7356002961399576,0.33840443143985743,0.2877149644701861,0.35738054578716744
acc_x_dyn__quantile_0.6,0.7356242455328715,0.4748843086218957,0.3573484875990421,0.6673680249921436,0.38319269040895954,0.6249355498908711,0.3128431613707533,0.6837542125223021,0.7666505025081698,0.600463301269397,0.4467625961212704,0.0,0.39796310952401737,0.6060401136719005,0.5636313050447432,0.656639636199554,0.2804503003561652,0.3568771816485518,0.260339771703407,0.5100478551446772,0.7768709978205993,0.7729128206014302,0.6257495680297637,0.3413129672359504,0.808193815356071,0.5588576188264329,0.38843013477626914,0.40734317334410725,0.34861428968682423
acc_z_dyn__sample_entropy,0.4507813987455122,0.4958989956893212,0.895369004058578,0.450385367848705,0.8980359471779825,0.3550160413766617,0.8515791877889768,0.4433125458378328,0.4401178070890352,0.4271635553233894,0.17862798469540034,0.39796310952401737,0.0,0.27068235555181913,0.20170698877594448,0.3878800303003864,0.46369412453482395,0.7310702244660514,0.43061994920495456,0.2550809687466335,0.5218739027853204,0.3883779514233101,0.40307440092643804,0.7896287101343223,0.3944882965679933,0.16156173144987615,0.7458766145314031,0.8017216081153172,0.7152956856795515
acc_y_dyn__variance_of_absolute_differences,0.4999708639261988,0.4262455140131905,0.19614181847390805,0.5385090679803747,0.25692840412068024,0.5769624863047568,0.15346632443921776,0.7311333300767748,0.8610823865472401,0.5956860312980397,0.7285904009765772,0.6060401136719005,0.27068235555181913,0.0,0.4912797514888317,0.5069964607829899,0.13397096197624297,0.36488927693265827,0.17815993025952045,0.6867772340097796,0.586529923063054,0.6134283991305736,0.5240656367545383,0.17646713938878855,0.6856244643134455,0.6906509313831498,0.39677013497713015,0.372531548462039,0.3743580306035684
acc_x_dyn__max,0.5964779992906959,0.607549296113914,0.21915699861453317,0.5871237518706268,0.1469406635959829,0.5079089280555875,0.1299223351900862,0.7249457926135933,0.5947091139416166,0.5826320546713725,0.5391518031743738,0.5636313050447432,0.20170698877594448,0.4912797514888317,0.0,0.5471960336939067,0.06395846987386328,0.24377802111672875,0.4287020244480833,0.690411387477228,0.7232516864142502,0.8097099877209288,0.5701330693599747,0.19979193833854295,0.5883224027834593,0.5398809931994013,0.23809430730513986,0.33002386940958395,0.2949083516272899
acc_y_dyn__quantile_0.4,0.6725696025330147,0.5786596380948731,0.3296525637616798,0.6805523578765058,0.3498887269479596,0.7048048327236245,0.3092142864762748,0.6088249441908328,0.7381800751726331,0.4794854913853088,0.37351394653102304,0.656639636199554,0.3878800303003864,0.5069964607829899,0.5471960336939067,0.0,0.3026181770410994,0.40545868384748057,0.24064510805493458,0.46724230684753065,0.7217322379213762,0.6795199707512943,0.5143297605768631,0.30574513783539253,0.8705005823936935,0.2910674454071966,0.3880749223133874,0.3957719120473223,0.3348840008315763
