,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
eda_cc_min,0.2693566756154441,-0.48836715071386316,0.20218385908084707,-0.17910632684886243,0.48820760997681106,0.26013028012770606,-0.09965310290027776,0.2358350015436362,0.02100765197561304,0.4939458217497604
eda_cc_iqr,0.40888771360012377,-0.3401488745819489,0.19042991950458116,0.08618286234556233,-0.08505358660092538,0.18098971603912864,-0.38466421929701144,-0.0004730177018505719,-0.0914922009191053,-0.6907166877201887
eda_cc_slope,0.3677495187464367,0.20714859957168055,0.1351493879462772,0.1550902209369978,-0.5623468667717029,0.1772857977054601,-0.3760014228201784,-0.21507945767488035,0.034225135827942774,0.49301070965014837
eda_cc_skew,-0.06553676336418823,0.46009172915215973,0.35167905865760557,0.24645331140842733,0.4810501231525144,-0.32920122049062994,-0.5040953616491896,0.07472198022899473,0.01048857106836421,-0.003867268396156947
eda_cc_kurtosis,-0.12338751208886337,0.49562220991879086,0.02225327396124512,-0.43380767201216847,0.09180854829881574,0.7065093082834022,-0.08279349280130724,0.12033269870048882,0.009033161378971902,-0.14645583407298782
eda_stress_skin_min,0.4386172937524756,0.26979645296476956,-0.17383150940130318,0.10955468340718107,-0.05814472589337474,-0.10408524660745941,0.21655725084972988,0.6264096180118102,-0.4887172889534544,0.016122425556980645
eda_stress_skin_mad,0.4724047131179485,0.18290059941196915,-0.17755816194424623,-0.09895737035177195,0.08041489361822621,-0.14622859006853242,0.13993371661134307,0.11549706330867035,0.7941372712781285,-0.1031373732407901
eda_stress_skin_slope,0.4338302671600572,0.18084808267236938,-0.07197563544251298,-0.17477054096454056,0.34209841436425925,-0.0565797956364535,0.2287189349193342,-0.6815435558984603,-0.325730137958998,-0.014606343355763213
eda_stress_skin_skew,0.02806474627182498,0.0018111577545546092,0.519613217467171,-0.687813387774463,-0.2668921428784802,-0.4130891935852096,0.051070447733723344,0.08658647905869216,-0.06022609627342044,-0.02274308925655801
eda_stress_skin_kurtosis,0.030836518870087797,0.08128891759904969,0.6659554977056766,0.40259823906140435,-0.01539748575768197,0.23357090030903827,0.5642337296396649,-0.01821275290652806,0.10295138696124828,-0.05269071846343097
