,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
eda_cc_min,0.265272869572358,-0.3430483846601746,0.45276717196899335,-0.17400104765681948,0.5034247150701905,0.052650756212033745,0.1522445659483327,0.22549781834964183,-0.1046877472645878,0.4852606409040823
eda_cc_kurtosis,-0.11542240013923646,0.25731447165615673,-0.456900544788264,-0.41605530544135255,0.5059137218221065,0.4873152726677627,0.07691347708137229,0.13792075680395832,0.05103383130069951,-0.13281441282556133
eda_cc_slope,0.36843308156799565,0.12253229912882668,-0.1531868142887004,0.18022646099900333,-0.3668294534327541,0.6060948847523019,0.0748668178435365,-0.23274493798929163,-0.09240987265876166,0.47229803555935296
eda_cc_mean_abs_diff,0.40471618327321085,-0.225261906370738,0.33568918359656547,0.0730844470248671,-0.02593999038275426,0.39914732781103696,0.0973354161841278,0.012201971289908341,0.1011718826014515,-0.6982714562248397
eda_stress_skin_slope,0.43640492736653635,0.11022834863417398,-0.1268477967975503,-0.16048918415440863,0.2890518580043965,-0.31147693656549824,-0.037479494066632674,-0.6705716793319396,-0.33291814792435764,-0.11436287553964568
eda_stress_skin_min,0.44297047539172696,0.20719773570139044,-0.21253131400815692,-0.015572073441993968,-0.15684096152494864,-0.1975136385623096,-0.0919015379728308,0.6440521302173173,-0.46944133055967424,-0.09054987995056213
eda_stress_skin_skew,0.020500393524203454,-0.45151364599128274,-0.3635628554635062,0.5182888701824627,0.318374218995042,0.09501157937206692,-0.5313307972518141,0.026056482059470153,-0.03915502151375995,0.00020714834109131398
eda_stress_skin_mean_abs_diff,0.4778622395438274,0.12779129841739467,-0.1701179788024281,-0.029097342296007717,0.04107136454048211,-0.24802759066083865,-0.0759758331993085,0.09327084503804461,0.7967665889101461,0.11409191182661434
eda_cc_skew,-0.02738081668267943,0.4721658783675056,0.10378771766587905,0.6794665455536595,0.3679853897298308,-0.04362030795397171,0.404756275510845,0.04233292820105287,-0.006997962935512536,-0.02963660130594455
eda_stress_skin_kurtosis,-0.023988573962503125,0.5021284516757427,0.4657686788465043,-0.04067729188524654,0.09362595865128479,0.15685977060197,-0.7028966456481719,-0.013019728804896498,0.005652325891691672,0.032565283833654105
