,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
acc_x_dyn__katz_fractal_dimension,0.18058396631894855,-0.23413732958460842,-0.09718613106611063,0.1383044934638709,-0.14833596504755778,-0.21656456413622005,0.19826823957920517,-0.28762588252136956,0.06955374913355161,-0.23834596031313335,0.2281056184335293,0.1499625125306999,0.025647892424343708,0.050700803112334415,0.12096370790444727,-0.0030455072955877147,0.23421700179722368,-0.014738655674953863,-0.05294339168361794,-0.21006567158080366,-0.17093545635035745,0.4847770084765058,0.3326071960140633,-0.09007028018431246,0.1479695575534627,-0.1717137463657529,0.0368749434426798,0.03608546405594378
acc_y_dyn__avg_amplitude_change,0.2333809011419134,0.1270259002168591,0.16012296998222625,0.13891167434485835,-0.12755615798038736,-0.18549108754334676,-0.05340279159694699,0.05270978466446,-0.012917982089519109,-0.16528907730846581,-0.1961421768278573,-0.05205372143691503,-0.08876210737258185,-0.11969089810406695,0.07209441252324389,-0.1559835616527815,-0.035322767890638575,-0.06661977485129722,0.05444874394173452,0.023396464603417,-0.0274064788758061,-0.04916199738007211,-0.1573693572282682,-0.16309414137866934,0.34968364199012414,0.28611507043320483,0.33945580159886,0.5697814997489885
acc_z_dyn__sum_of_absolute_changes,0.23015818612431946,0.11836915102606242,-0.2109115533126997,-0.105212897344723,-0.17109486142794614,-0.10582236183784403,-0.023617959096476668,0.22173017569569073,-0.014415028623838897,-0.05443934300340472,-0.10022527492587206,-0.0935154022630502,0.12694976666896426,0.05482408109823253,-0.0848852729099122,-0.29946106159976615,0.14590410517806326,0.03330904945381004,0.08679293780090422,-0.07979058157094968,0.01937157134753363,0.008434501015943088,-0.09955881027777903,-0.27452650666123396,0.3689299073518726,0.19619344711724732,-0.45659812541723227,-0.3797359334004104
acc_z_dyn__lower_complete_moment,0.1808309022562161,0.16530261294488113,-0.21332843524005884,-0.26936442143647216,-0.2196249001997222,0.260720664676445,0.22040699806222905,0.011631553123898233,0.2142558157164103,0.048982487962135834,0.17343872172451294,0.021395261697716134,-0.2619392193747816,0.01476924477962487,-0.012905887547184854,0.4434809037702208,-0.25489312266535447,0.019285362162582115,-0.2543092342855421,-0.13429604338726925,0.19987036825840918,0.18026468814827398,-0.23312859579376982,-0.05847447757630265,0.1407363480083209,0.09601230201017405,-0.01459814965392559,0.07047988207934033
acc_y_dyn__variance_of_absolute_differences,0.19887601079142617,0.15702301785826955,0.13352485375284567,0.22065736490474627,-0.16979218537735855,-0.28688046064163314,-0.15370819134993846,0.10968036099548058,0.15153997168141894,-0.2446899392395718,-0.22366978973862967,0.13069327057976285,-0.18690712122245468,-0.3350689919910334,0.17076218410176572,0.24515081948441225,-0.15977768691228547,-0.06388791705236359,-0.18697516730180064,0.16469736670013474,-0.2211171909035966,-0.02849280524457864,0.003403862875173931,0.18973088742182034,-0.1691814621618764,-0.10504370612663856,-0.29178354072095897,-0.18404739893151026
acc_x_dyn__approximate_entropy_0.9,0.17215387422699066,-0.23541382541573852,-0.1628378355520074,0.1557820341883382,-0.2507039826279836,-0.06914467285922982,-0.02485918059595247,-0.29481704905401346,0.0734906664356023,-0.14153935716373048,0.3740988449155814,0.16111269367924577,0.06934787932535776,0.02566440629920044,0.01209759937921382,-0.12314351829034575,0.03599357027192939,0.060448262780392496,-0.03963175458298279,0.08409863615617214,0.21012770204070177,-0.561830408656392,-0.26853710151006943,0.2124770488313031,0.052661687264905124,-0.05307111163571177,-0.0031780458543371314,-0.02474334628836789
acc_z_dyn__katz_fractal_dimension,0.1769712590990042,-0.2348359480894183,-0.0846267984104902,0.17568392824075663,0.05043451999026426,-0.2495484308634796,0.26696086243511347,0.22038411308806383,-0.016471836093312545,0.021639993043520288,0.05228632152173761,-0.11286479098502669,0.29278509752972787,0.00641901693898106,-0.5212422544475582,0.14074842786581135,-0.3515713107518791,-0.19171852021895455,0.07231798317466404,0.1649307603674871,0.03894087981457656,0.11142643732833561,0.08429111278683743,0.2094008481487246,0.005049544863197405,0.17217065491284542,0.08926006963218608,-0.045382501952998214
acc_x_dyn__max,0.16969242183769936,0.21724753154305035,-0.2142108544086237,0.16035432928589988,0.23473197807441665,0.18695052540424698,-0.061132569992431655,-0.11616178010954083,0.17356358473833922,-0.03099420522166242,-0.07607315427732711,-0.31164068474479456,0.416902229375018,0.06682802938425658,0.2117243363351147,-0.25368742024483004,-0.19180553471735612,-0.08024344590576149,-0.4545795935654345,-0.15270331272201684,-0.1111610141360937,0.035033634625138865,-0.03281927702254374,0.15974009109874954,-0.021800771012442075,-0.07269400651932093,0.06482812889127627,0.018657304595233015
acc_z_dyn__variance_of_absolute_differences,0.17722446491171817,0.14703568739802883,-0.27752858341569686,-0.12060946028042702,-0.3021967919594048,-0.0952156309582071,-0.2400613128445674,0.3708103885958967,0.3697014350800198,0.1475238463735825,-0.005004917170984842,-0.007313763592624616,-0.016587534468240444,0.2707910905764534,-0.07402255863679646,-0.052518561867807345,0.24797046467359513,-0.04117098369027826,0.13974589002274515,-0.014078229296024203,-0.023932278555202156,-0.0474219838409165,0.20024308574861843,0.1318234385860652,-0.28743050254830793,-0.15783968546579621,0.2047438365320633,0.16390712647362524
acc_y_dyn__quantile_0.3,-0.20452132160288503,-0.13131841023150292,-0.397874112420457,-0.10453982014650652,0.10032815622054542,-0.07414163308986932,-0.0031998884125100545,0.08373853692535232,-0.12993749745943192,-0.07448299705334406,0.025658792855888138,0.0062735118793779176,0.00911892658489725,-0.0981801729200275,0.0907963543749397,-0.005130556909280799,-0.05529127483575056,0.07047678731831955,-0.008912711234368742,-0.019971741358856345,-0.0070154038350171335,-0.03135806052257697,0.15446274025293383,0.16773101684915032,-0.05402560166914961,0.128763702639186,-0.5409141457609768,0.5782496523912436
