,acc_x_dyn__harmonic_mean_of_abs,acc_x_dyn__quantile_0.4,acc_z_dyn__approximate_entropy_0.1,acc_z_dyn__quantile_0.4,acc_x_dyn__sample_entropy,acc_y_dyn__harmonic_mean_of_abs,acc_y_dyn__sample_entropy,acc_z_dyn__sum_of_absolute_changes,acc_y_dyn__avg_amplitude_change,acc_z_dyn__quantile_0.6,acc_z_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.6,acc_z_dyn__sample_entropy,acc_y_dyn__variance_of_absolute_differences,acc_x_dyn__max,acc_y_dyn__quantile_0.4,acc_y_dyn__tsallis_entropy,acc_y_dyn__katz_fractal_dimension,acc_x_dyn__cardinality,acc_x_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.3,acc_x_dyn__quantile_0.9,acc_z_dyn__harmonic_mean_of_abs,acc_x_dyn__approximate_entropy_0.1,acc_y_dyn__quantile_0.3,acc_z_dyn__lower_complete_moment,acc_x_dyn__katz_fractal_dimension,acc_z_dyn__katz_fractal_dimension,acc_x_dyn__approximate_entropy_0.9
acc_x_dyn__harmonic_mean_of_abs,0.0,0.7982738864451489,0.3193555675995013,0.6684263005569396,0.33198752239257906,0.6534642013455132,0.25290011555477904,0.6949033243006627,0.7062638250294908,0.5668578701701228,0.5165895902284124,0.8544343060853798,0.32204790822127843,0.5968365637969905,0.6754159617343739,0.4731223334369347,0.2982033674020115,0.3520704202307776,0.2293443765050674,0.6569581476607703,0.8589617271831386,0.861160973285405,0.6591595592835462,0.3268609601131543,0.6251478086313951,0.5850146563565441,0.33270579017886326,0.4028583890776719,0.27154472624692294
acc_x_dyn__quantile_0.4,0.7982738864451489,0.0,0.31826068095706556,0.5774730497753794,0.33383380361876325,0.6293629691797118,0.2436822690194684,0.655023229712918,0.7609008065191536,0.5842742516664235,0.4338410970874744,0.7816257928158235,0.36147869240725833,0.6579014186302834,0.6756675500578306,0.5595783146499499,0.29042618441344753,0.3390733823435863,0.2116748687039053,0.5821476192106976,0.9577635349358637,0.8684575094152789,0.6265158267408104,0.3046483538258702,0.703914825007169,0.49909013529976803,0.3668900499572655,0.4287935991637026,0.23563399930774265
acc_z_dyn__approximate_entropy_0.1,0.3193555675995013,0.31826068095706556,0.0,0.3544843130398678,0.8383100582869638,0.27747291599435314,0.8105947232650804,0.2882162038936012,0.3020289579020759,0.31926293546495066,0.1351548006884053,0.3577347282699715,0.8658678031090045,0.18211369370557542,0.09295087700930359,0.2502908129627039,0.6318698261700616,0.688734807387317,0.5508608399053044,0.15864197358675503,0.34883307786238243,0.27056441705614137,0.34431847797671494,0.8921794379618746,0.28811614341093805,0.14349206928450484,0.6674503842950394,0.6713032879366818,0.6738830141659692
acc_z_dyn__quantile_0.4,0.6684263005569396,0.5774730497753794,0.3544843130398678,0.0,0.3994161301278184,0.6909573861797171,0.28340990525492127,0.8095237109378248,0.7888430671789244,0.6336713443190864,0.6343762349608112,0.6973152300792529,0.3181495259371056,0.6713334397068152,0.5410168685508732,0.5638035024153127,0.32132131771883937,0.4264030529053064,0.2304565378160952,0.5377854708616833,0.6684960686181907,0.6911208494879774,0.8686614107626922,0.35934245583018326,0.6857369279908896,0.6352700432843408,0.40005542503333386,0.34980008276154173,0.4215722493529606
acc_x_dyn__sample_entropy,0.33198752239257906,0.33383380361876325,0.8383100582869638,0.3994161301278184,0.0,0.2984683332715978,0.8915691848042699,0.36393848830318104,0.35650518067784526,0.36026708905995414,0.2022320770434662,0.37308283384743973,0.9167511989512632,0.22199476401780088,0.012712745917076936,0.2511737082557999,0.6193845468065334,0.8096655512294961,0.4063743066856601,0.14945390020484653,0.35572266352934,0.24663153770893256,0.3994228969721705,0.8814585531273855,0.297566827886086,0.17667580261842689,0.8276201650840299,0.7872781403852701,0.8023656937683123
acc_y_dyn__harmonic_mean_of_abs,0.6534642013455132,0.6293629691797118,0.27747291599435314,0.6909573861797171,0.2984683332715978,0.0,0.1839359292554385,0.5723160389055528,0.7744012298659174,0.5244981270927089,0.43333264870018734,0.641141338641081,0.2612184235741321,0.6850825051673108,0.4565664785228176,0.7623472759656504,0.26481509998541597,0.29680916958650616,0.16290040135752562,0.32800403563804414,0.6664166890283167,0.6174945149251523,0.5340978981620771,0.2869206063139217,0.8708620798789218,0.48429546724008427,0.25458841586866743,0.29779243432213826,0.22863728717772272
acc_y_dyn__sample_entropy,0.25290011555477904,0.2436822690194684,0.8105947232650804,0.28340990525492127,0.8915691848042699,0.1839359292554385,0.0,0.23811509196865485,0.20926140817040373,0.2631153074475793,0.09839070513565931,0.2772974936100883,0.8999593970832446,0.06967405865727734,0.04673866565921275,0.14986233802831672,0.6273028009970629,0.8270175534827763,0.3947445055233209,0.10061718367020676,0.25490053282781816,0.15317193357528813,0.28285172272149545,0.7926017490704886,0.1747445277373934,0.07741399171953386,0.7172659377961933,0.7500831988817505,0.6838486355017035
acc_z_dyn__sum_of_absolute_changes,0.6949033243006627,0.655023229712918,0.2882162038936012,0.8095237109378248,0.36393848830318104,0.5723160389055528,0.23811509196865485,0.0,0.8082115336341971,0.728232609215538,0.877979014003295,0.7522426313198354,0.3251639665591029,0.7077843935929443,0.689564127719521,0.4099416785191531,0.24641597986879507,0.43990588463578073,0.2699596939037617,0.6647799377669801,0.7376217458444436,0.7781806088829546,0.8262478155163099,0.29492306871401114,0.5826349598943728,0.7737454885217925,0.4442343482770501,0.44202280053933396,0.4418241947635209
acc_y_dyn__avg_amplitude_change,0.7062638250294908,0.7609008065191536,0.3020289579020759,0.7888430671789244,0.35650518067784526,0.7744012298659174,0.20926140817040373,0.8082115336341971,0.0,0.6002403543174908,0.6314575679829988,0.7775548926523642,0.3314070446147483,0.9272367639481034,0.6080971436898068,0.7265538989563061,0.24385193859483956,0.4631509612262668,0.2364752836536977,0.5440672904193379,0.802316060398988,0.7884689159290521,0.737183350960403,0.2885308129504404,0.870956361803268,0.5621165105525475,0.43939758640891063,0.41650581026504385,0.38408262236814095
acc_z_dyn__quantile_0.6,0.5668578701701228,0.5842742516664235,0.31926293546495066,0.6336713443190864,0.36026708905995414,0.5244981270927089,0.2631153074475793,0.728232609215538,0.6002403543174908,0.0,0.5407736423735525,0.5933044284618008,0.31190428553692784,0.45603274509955477,0.5136661356710928,0.47679585493066506,0.305100002452395,0.35016490550446816,0.20551141022737657,0.44864998539588113,0.6503312510887095,0.6323706151756167,0.7016509555230306,0.3163398272281705,0.5550779403709339,0.7915050726238956,0.37143320442199607,0.32011788091771287,0.3279006390673701
acc_z_dyn__variance_of_absolute_differences,0.5165895902284124,0.4338410970874744,0.1351548006884053,0.6343762349608112,0.2022320770434662,0.43333264870018734,0.09839070513565931,0.877979014003295,0.6314575679829988,0.5407736423735525,0.0,0.5685250477427936,0.1400788801938543,0.6244914893025407,0.5865615008817172,0.3066718847189261,0.10201676558314679,0.2520295324722764,0.18812960221866679,0.6097904074098816,0.5158191380746596,0.59858079054728,0.6407443212480302,0.1623285187334959,0.4445008280298492,0.76185226613269,0.270653603738592,0.2494552355858347,0.3257828875226418
acc_x_dyn__quantile_0.6,0.8544343060853798,0.7816257928158235,0.3577347282699715,0.6973152300792529,0.37308283384743973,0.641141338641081,0.2772974936100883,0.7522426313198354,0.7775548926523642,0.5933044284618008,0.5685250477427936,0.0,0.38027529049400505,0.6832407342358499,0.6799380308170343,0.5481182393889862,0.30106575531822233,0.39292327558824935,0.2271086705402126,0.7364245226705658,0.8842791993127445,0.886650356568995,0.7334418475809136,0.3381921231287213,0.6826286474254147,0.5873299063158943,0.3709841078976515,0.4117842229596925,0.32435954018863605
acc_z_dyn__sample_entropy,0.32204790822127843,0.36147869240725833,0.8658678031090045,0.3181495259371056,0.9167511989512632,0.2612184235741321,0.8999593970832446,0.3251639665591029,0.3314070446147483,0.31190428553692784,0.1400788801938543,0.38027529049400505,0.0,0.21049598143447976,0.03388198850062509,0.20007557178637822,0.5740695500167446,0.79643277972814,0.4048621818698896,0.17735487030114175,0.3712046444898777,0.25886936311384656,0.3294677429977893,0.8056448360734558,0.2640863453394186,0.08783163004324936,0.7740601591309971,0.8565612005465442,0.7231449634247593
acc_y_dyn__variance_of_absolute_differences,0.5968365637969905,0.6579014186302834,0.18211369370557542,0.6713334397068152,0.22199476401780088,0.6850825051673108,0.06967405865727734,0.7077843935929443,0.9272367639481034,0.45603274509955477,0.6244914893025407,0.6832407342358499,0.21049598143447976,0.0,0.5523897577595085,0.6273166307619744,0.10707968084842716,0.3204044897842192,0.1709233691880383,0.5236372116445007,0.7020104074259339,0.7155357593370334,0.6156313031936302,0.1505975038570263,0.7824771394550951,0.5061320963886966,0.3541580418856249,0.3151555443610333,0.3001082756596019
acc_x_dyn__max,0.6754159617343739,0.6756675500578306,0.09295087700930359,0.5410168685508732,0.012712745917076936,0.4565664785228176,0.04673866565921275,0.689564127719521,0.6080971436898068,0.5136661356710928,0.5865615008817172,0.6799380308170343,0.03388198850062509,0.5523897577595085,0.0,0.40674896553974754,0.013516554764483948,0.1196565886846364,0.3310834284587664,0.7690588641924677,0.7515029217048127,0.8199104659318224,0.5874171186424898,0.04665927487772365,0.5062756954071636,0.6173991778154423,0.12208697963640912,0.15612234796668403,0.12964684732457524
acc_y_dyn__quantile_0.4,0.4731223334369347,0.5595783146499499,0.2502908129627039,0.5638035024153127,0.2511737082557999,0.7623472759656504,0.14986233802831672,0.4099416785191531,0.7265538989563061,0.47679585493066506,0.3066718847189261,0.5481182393889862,0.20007557178637822,0.6273166307619744,0.40674896553974754,0.0,0.2406500962746278,0.2567027230234731,0.1509967549773062,0.29450094488869755,0.5986583899396372,0.5247941692116935,0.500165966311649,0.2514787218925368,0.9405400085187037,0.4122026154097369,0.22688630016916989,0.15541040093065472,0.20244525369528396
acc_y_dyn__tsallis_entropy,0.2982033674020115,0.29042618441344753,0.6318698261700616,0.32132131771883937,0.6193845468065334,0.26481509998541597,0.6273028009970629,0.24641597986879507,0.24385193859483956,0.305100002452395,0.10201676558314679,0.30106575531822233,0.5740695500167446,0.10707968084842716,0.013516554764483948,0.2406500962746278,0.0,0.5169969561297251,0.004478220211732502,0.107816989817928,0.3160949882049465,0.22660080405193456,0.33126166395567513,0.6674123812638715,0.2748840023606639,0.17946043746537801,0.45050133010740545,0.42489249779180016,0.40309416285437505
acc_y_dyn__katz_fractal_dimension,0.3520704202307776,0.3390733823435863,0.688734807387317,0.4264030529053064,0.8096655512294961,0.29680916958650616,0.8270175534827763,0.43990588463578073,0.4631509612262668,0.35016490550446816,0.2520295324722764,0.39292327558824935,0.79643277972814,0.3204044897842192,0.1196565886846364,0.2567027230234731,0.5169969561297251,0.0,0.45589311372657937,0.23247844404900952,0.3592970940772523,0.30607814643673675,0.4293495569666354,0.6690215233518804,0.3160223123958256,0.20538142910654683,0.7939619964958256,0.791258960566031,0.7587001992317213
acc_x_dyn__cardinality,0.2293443765050674,0.2116748687039053,0.5508608399053044,0.2304565378160952,0.4063743066856601,0.16290040135752562,0.3947445055233209,0.2699596939037617,0.2364752836536977,0.20551141022737657,0.18812960221866679,0.2271086705402126,0.4048621818698896,0.1709233691880383,0.3310834284587664,0.1509967549773062,0.004478220211732502,0.45589311372657937,0.0,0.17226018177124466,0.23937314155305822,0.2865344296077268,0.24711000648232542,0.49100940349863825,0.18186405895191762,0.21310174214778338,0.46951336653429626,0.46388355941456644,0.5692913209975621
