,acc_x_dyn__harmonic_mean_of_abs,acc_x_dyn__quantile_0.4,acc_z_dyn__approximate_entropy_0.1,acc_z_dyn__quantile_0.4,acc_x_dyn__sample_entropy,acc_y_dyn__harmonic_mean_of_abs,acc_y_dyn__sample_entropy,acc_z_dyn__sum_of_absolute_changes,acc_y_dyn__avg_amplitude_change,acc_z_dyn__quantile_0.6,acc_z_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.6,acc_z_dyn__sample_entropy,acc_y_dyn__variance_of_absolute_differences,acc_x_dyn__max,acc_y_dyn__quantile_0.4,acc_y_dyn__tsallis_entropy,acc_y_dyn__katz_fractal_dimension,acc_x_dyn__cardinality,acc_x_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.3,acc_x_dyn__quantile_0.9,acc_z_dyn__harmonic_mean_of_abs,acc_x_dyn__approximate_entropy_0.1,acc_y_dyn__quantile_0.3,acc_z_dyn__lower_complete_moment,acc_x_dyn__katz_fractal_dimension,acc_z_dyn__katz_fractal_dimension,acc_x_dyn__approximate_entropy_0.9
acc_x_dyn__harmonic_mean_of_abs,0.0,0.8999967159410042,0.456720722578584,0.695817149654193,0.4227133406434502,0.7008576386148463,0.33862389068419785,0.5973573958674037,0.6623228998532822,0.6586066540264869,0.342353409797238,0.9141919772643018,0.43612310587735015,0.519216466502855,0.4330671317899177,0.49113439603386394,0.3377022187174216,0.377534740870508,0.2218875663177145,0.624323768857031,0.8960745892514177,0.8401666809245186,0.6419175461212292,0.4349463890192716,0.6833312350902816,0.4904156744857929,0.39122901493032197,0.45276038624535,0.31640917688519465
acc_x_dyn__quantile_0.4,0.8999967159410042,0.0,0.5290395831621938,0.7501511054657322,0.5014102157173679,0.710809001905342,0.4050580053260225,0.7543794369432464,0.7571875850550553,0.7678356292719257,0.492464717844772,0.9423005609775719,0.5131301436617308,0.5761578697804755,0.4735453704600961,0.46618586698573217,0.37276076544579,0.4506619035721153,0.24551358917204416,0.6503092055953477,0.9680176079716626,0.8827906389501634,0.7621805094145471,0.5091435571435159,0.7241370832026217,0.5799642985439751,0.49694585058960433,0.5679977745871224,0.4009033727419897
acc_z_dyn__approximate_entropy_0.1,0.456720722578584,0.5290395831621938,0.0,0.5664948753792168,0.9081073206088276,0.5190145285855151,0.8599514318730835,0.516051321687816,0.5156590885255978,0.5528295141092756,0.3369861598066476,0.5620536537469187,0.931609675708393,0.3300811880747606,0.11448421852807598,0.4493725306656341,0.6582096069658468,0.8607749324878579,0.5561947871097976,0.35683448575350757,0.5488071679109134,0.47384213936950315,0.5679073276008848,0.9587086268665307,0.5545353729722499,0.3584298039032336,0.8434929952579137,0.8586432717105633,0.8200358276018049
acc_z_dyn__quantile_0.4,0.695817149654193,0.7501511054657322,0.5664948753792168,0.0,0.5455362361781508,0.8947235652217699,0.4567734305872578,0.8461554418929373,0.8363850898796107,0.8779990899537417,0.6659744374904407,0.8177718387070848,0.5165779230847959,0.5807961499540246,0.41041823029405405,0.8460071678891522,0.43265413092790084,0.5954469101562966,0.26909746659316186,0.6838463617819163,0.7936328923181597,0.7371134188031055,0.9240771236404621,0.5723754751771644,0.9474473074234199,0.7454646986407878,0.5762719733621734,0.5512484405243215,0.5719234695640003
acc_x_dyn__sample_entropy,0.4227133406434502,0.5014102157173679,0.9081073206088276,0.5455362361781508,0.0,0.5086171860263646,0.9336627010850421,0.4601931070317876,0.43384134570037497,0.5412036379795339,0.2942408566937416,0.5266291795107932,0.9571494439952333,0.232110286513379,0.07075856289455595,0.4489923185302925,0.6360507319295847,0.846807247748819,0.3555711475629887,0.23519051438917354,0.4779032519637509,0.34144086661260037,0.5526698676350781,0.937905370168021,0.5053315390700206,0.2861581046984807,0.8312586318110574,0.8236351906252644,0.7995628662641909
acc_y_dyn__harmonic_mean_of_abs,0.7008576386148463,0.710809001905342,0.5190145285855151,0.8947235652217699,0.5086171860263646,0.0,0.43924593311126947,0.7313934370275759,0.8276559334401492,0.8510811551905196,0.4797038138273348,0.7827171226404986,0.5060240475749351,0.597533390728794,0.2988302629288959,0.7551748689732891,0.3909755648920265,0.6318094099181185,0.22082828319486258,0.5072766927362721,0.7259500718260712,0.6669596526264062,0.822039775822218,0.5004678457201605,0.90956629639787,0.6023740650554267,0.5739433982129549,0.5436963740959895,0.49461193108920326
acc_y_dyn__sample_entropy,0.33862389068419785,0.4050580053260225,0.8599514318730835,0.4567734305872578,0.9336627010850421,0.43924593311126947,0.0,0.3342021905505712,0.2823820208882482,0.445481376380858,0.17280041811898722,0.42196123705416194,0.927679868404464,0.055707581673559985,0.13262860482380978,0.392182853343807,0.6414696123202415,0.8299287606803082,0.32382061214446295,0.16788835990756293,0.3772169836135238,0.21288402445348353,0.4574458790354945,0.8601085275621846,0.40349071404193443,0.1858233584169401,0.7261601448048264,0.7496185585694338,0.6941614470639518
acc_z_dyn__sum_of_absolute_changes,0.5973573958674037,0.7543794369432464,0.516051321687816,0.8461554418929373,0.4601931070317876,0.7313934370275759,0.3342021905505712,0.0,0.8690929836589192,0.8845212592379599,0.8997668508254143,0.8029434923088448,0.42631533728137594,0.6329726251567115,0.5884769999602086,0.6221395771249798,0.36351947657345507,0.5574443063646632,0.3230926781873593,0.7528708070429307,0.7999907888376498,0.7955702937125952,0.8626198578379836,0.510488182124131,0.8248598555296691,0.86196913775048,0.5708700443600241,0.595765725179946,0.5852871032510747
acc_y_dyn__avg_amplitude_change,0.6623228998532822,0.7571875850550553,0.5156590885255978,0.8363850898796107,0.43384134570037497,0.8276559334401492,0.2823820208882482,0.8690929836589192,0.0,0.8003017232991498,0.714556134446146,0.8001940505369382,0.43312754944979454,0.8820606967028538,0.5307090830771659,0.6427867840483338,0.374068155859262,0.5848735648918686,0.29935628486962873,0.674199061427493,0.8012852757976888,0.8465266865700187,0.8356548216972027,0.49633469171426253,0.8811852018888501,0.7033574594775174,0.5930924524335187,0.5821134177618347,0.5551030343185287
acc_z_dyn__quantile_0.6,0.6586066540264869,0.7678356292719257,0.5528295141092756,0.8779990899537417,0.5412036379795339,0.8510811551905196,0.445481376380858,0.8845212592379599,0.8003017232991498,0.0,0.6887301263927904,0.8148687563354553,0.519563987475839,0.5537265009339826,0.4118321208137704,0.655154070741687,0.41410031396167185,0.5897214945882162,0.25235683059243963,0.6270502932114661,0.7891887035861188,0.7251430127859475,0.8906351540034002,0.5426778609588073,0.8641471149800185,0.8114448342870704,0.5727290051271124,0.5686576606941038,0.5391199248197152
