,eda_scl_mean,eda_scl_std,eda_scl_min,eda_scl_max,eda_scl_range,eda_scl_slope,eda_scl_auc,eda_scr_count,eda_scr_rate,eda_scr_amp_sum,eda_phasic_mean,eda_phasic_std,eda_phasic_max,eda_phasic_auc,eda_phasic_energy
eda_scl_mean,0.0,0.043654192722600765,0.9999971767399484,0.9999971641771135,0.04376927943436457,0.4242433124675584,0.9999999999999668,0.31487085497227646,0.3148708549722765,0.28204007614764814,0.03295904193707875,0.043319350905866735,0.04586584999696602,0.03274764983793393,0.06954274978863213
eda_scl_std,0.043654192722600765,0.0,0.04602669397148871,0.041276171533880864,0.9999864507318761,0.0020320051801738614,0.04365420340661598,0.5043714812609568,0.504371481260956,0.5943948812770959,0.9771462758688982,0.9859739209686904,0.984820106807358,0.9766003977047736,0.9583558895092578
eda_scl_min,0.9999971767399484,0.04602669397148871,0.0,0.9999886944197593,0.04614179791873943,0.4242037787707138,0.9999971767455361,0.31363213003482115,0.31363213003482093,0.28060003029826713,0.03528146692905975,0.04564796786616954,0.04819153736821129,0.03506895160979816,0.06726700069997474
eda_scl_max,0.9999971641771135,0.041276171533880864,0.9999886944197593,0.0,0.04139123496469905,0.42428231219257995,0.9999971641317861,0.31609810027714697,0.3160981002771471,0.28348801349191427,0.03063935871976554,0.04096421460506789,0.04351263814546357,0.030429431219408293,0.0718420040469281
eda_scl_range,0.04376927943436457,0.9999864507318761,0.04614179791873943,0.04139123496469905,0.0,0.002068018652092991,0.043769290131012335,0.5043151551515109,0.5043151551515127,0.5944157679258899,0.9767409107423172,0.9859432558871533,0.9850348614445215,0.9761879703041942,0.9581555573216195
eda_scl_slope,0.4242433124675584,0.0020320051801738614,0.4242037787707138,0.42428231219257995,0.002068018652092991,0.0,0.42424330930360726,0.6996758990818638,0.6996758990818642,0.728808113857407,0.004881179685459642,0.000918610980409669,0.0017495464110134239,0.004926305368407605,0.15541000742238
eda_scl_auc,0.9999999999999668,0.04365420340661598,0.9999971767455361,0.9999971641317861,0.043769290131012335,0.42424330930360726,0.0,0.31487087385347895,0.31487087385347917,0.2820400626105095,0.032959035525414716,0.0433193916080182,0.04586589292475755,0.0327476428498276,0.06954271263413249
eda_scr_count,0.31487085497227646,0.5043714812609568,0.31363213003482115,0.31609810027714697,0.5043151551515109,0.6996758990818638,0.31487087385347895,0.0,0.9999999999999984,0.9346129979006921,0.5404362702076632,0.5039758770958693,0.5042686388303808,0.5406844993991079,0.5901653767279953
eda_scr_rate,0.3148708549722765,0.504371481260956,0.31363213003482093,0.3160981002771471,0.5043151551515127,0.6996758990818642,0.31487087385347917,0.9999999999999984,0.0,0.934612997900692,0.540436270207665,0.5039758770958718,0.5042686388303802,0.5406844993991076,0.5901653767279947
eda_scr_amp_sum,0.28204007614764814,0.5943948812770959,0.28060003029826713,0.28348801349191427,0.5944157679258899,0.728808113857407,0.2820400626105095,0.9346129979006921,0.934612997900692,0.0,0.6039561540193036,0.6033369526853781,0.603359637360731,0.6037426725182898,0.7118601505372494
eda_phasic_mean,0.03295904193707875,0.9771462758688982,0.03528146692905975,0.03063935871976554,0.9767409107423172,0.004881179685459642,0.032959035525414716,0.5404362702076632,0.540436270207665,0.6039561540193036,0.0,0.967611308308636,0.9605258702820327,0.9999952440116411,0.9519431026324032
eda_phasic_std,0.043319350905866735,0.9859739209686904,0.04564796786616954,0.04096421460506789,0.9859432558871533,0.000918610980409669,0.0433193916080182,0.5039758770958693,0.5039758770958718,0.6033369526853781,0.967611308308636,0.0,0.9980275347372041,0.9668763516943237,0.9702200637243154
eda_phasic_max,0.04586584999696602,0.984820106807358,0.04819153736821129,0.04351263814546357,0.9850348614445215,0.0017495464110134239,0.04586589292475755,0.5042686388303808,0.5042686388303802,0.603359637360731,0.9605258702820327,0.9980275347372041,0.0,0.9596883492324942,0.9667439950280121
eda_phasic_auc,0.03274764983793393,0.9766003977047736,0.03506895160979816,0.030429431219408293,0.9761879703041942,0.004926305368407605,0.0327476428498276,0.5406844993991079,0.5406844993991076,0.6037426725182898,0.9999952440116411,0.9668763516943237,0.9596883492324942,0.0,0.9513761534367423
eda_phasic_energy,0.06954274978863213,0.9583558895092578,0.06726700069997474,0.0718420040469281,0.9581555573216195,0.15541000742238,0.06954271263413249,0.5901653767279953,0.5901653767279947,0.7118601505372494,0.9519431026324032,0.9702200637243154,0.9667439950280121,0.9513761534367423,0.0
