,PC1,PC2,PC3,PC4
eda_scl_slope,0.5594717771968182,-0.26375158753449474,0.2416158018066703,-0.7476952821240666
eda_phasic_energy,0.5574888689536424,-0.10087893293930515,-0.8008879551330674,0.19392804130550273
eda_scr_rate,0.5709363849610078,-0.01953311034872596,0.547865175331912,0.61114143337389
eda_scl_min,0.22411857540301608,0.9591021835874239,-0.00663606047485777,-0.17277102852773385
