,PC1,PC2,PC3,PC4,PC5
eda_scl_slope,0.43803420732445497,-0.4964905463093721,-0.29050301631285397,-0.5601911386558148,-0.4042487555004875
eda_scr_amp_sum,0.5200565602663839,-0.18195883928806172,-0.09184702376875073,0.01711978961018983,0.8292787178972842
eda_phasic_energy,0.4995715809646777,0.10552141942170445,-0.33192565754276,0.7158040508944085,-0.3416773099338656
eda_scl_min,0.26346496163800304,0.8381216501348686,-0.23501215905047643,-0.41581977369604933,0.0012306364575800054
eda_scr_count,0.46763410570559566,0.08249513833430876,0.8612588256158517,-0.024724026810486934,-0.17926196788278698
