Model,n_samples,train_r2,test_r2,train_mae,test_mae,pearson_r,pearson_p
Original ElasticNet (24 samples),24,0.6188,-0.42,0.0465,0.0944,0.6283,0.07
Refined ElasticNet (37 samples),37,0.3948681814494533,0.2994198075430477,0.0624810299860289,0.0606808919152393,0.7982854793451521,0.0175398090497021
