,ppg_red_mean,ppg_red_std,ppg_red_min,ppg_red_max,ppg_red_range,ppg_red_median,ppg_red_iqr,ppg_red_mad,ppg_red_skew,ppg_red_kurtosis,ppg_red_diff_mean,ppg_red_diff_std,ppg_red_diff_mean_abs,ppg_red_diff_rms,ppg_red_signal_rms,ppg_red_signal_energy,ppg_red_zcr,ppg_red_p1,ppg_red_p5,ppg_red_p10,ppg_red_p90,ppg_red_p95,ppg_red_p99,ppg_red_p90_p10,ppg_red_p95_p5,ppg_red_p99_p1,ppg_red_trim_mean_10,ppg_red_mean_abs,ppg_red_rms,ppg_red_crest_factor,ppg_red_shape_factor,ppg_red_impulse_factor,ppg_red_clearance_factor,ppg_red_mean_cross_rate,ppg_red_tke_mean,ppg_red_tke_std,ppg_red_tke_mean_abs,ppg_red_tke_p95_abs,ppg_red_dx_mean,ppg_red_dx_std,ppg_red_ddx_mean,ppg_red_ddx_std,ppg_red_dx_kurtosis,ppg_red_ddx_kurtosis
ppg_red_mean,0.0,0.151430182947022,0.13865876030380486,0.07270460932884343,0.10126152384599704,0.5591504016510406,0.24138592190134675,0.2298682587802737,0.1386289741787403,0.04514373428770332,0.021828377419074962,0.14711467698204597,0.16599606213703788,0.14672461753405727,0.1524365837465658,0.03957914901967638,0.05079577547361019,0.1378126677852065,0.18094854883072278,0.23076713062103366,0.135095895943729,0.12330469799489391,0.08302318697296905,0.18262563705660523,0.15769833030993857,0.11105493104397268,0.7028616546615115,0.19179719933271136,0.1524365837465658,0.027168734665761834,0.025574641179726302,0.03180499917451771,0.024697168159708984,0.04596004557522283,0.06333814900486523,0.03668031303627078,0.06333814900486523,0.15007973495917154,0.021828377419074962,0.14711467698204597,0.17212240168941595,0.1632760525571159,0.02780883139135406,0.0239671727769571
ppg_red_std,0.151430182947022,0.0,0.9482030671633002,0.9297273568016635,0.9711202116000988,0.22146750693638795,0.7828930330465622,0.7790801119332362,0.09273943979963636,0.23851098447187488,0.7115489665583343,0.9354749133875616,0.8258696578289153,0.9369643427102967,0.9999960614535672,0.8170809213059208,0.025279877916392513,0.9524276415791779,0.9785778194689014,0.9517707000741286,0.9841656044166643,0.9787226915360285,0.9668718088469493,0.9770293013201777,0.9938524556175102,0.9831882312450718,0.16758809423963825,0.9739366977642308,0.9999960614535672,0.25435416288094165,0.16359851176365678,0.25135604986081894,0.2535670806652449,0.015494431850389326,0.8826369784276397,0.8285916534367797,0.8826369784276397,0.8934740248379053,0.7115489665583343,0.9354749133875616,0.7047994386958966,0.6877709569973103,0.24804881749729302,0.2824444547219344
ppg_red_min,0.13865876030380486,0.9482030671633002,0.0,0.8521067628297596,0.941445793169953,0.1454032675494612,0.6683818843922256,0.666663889509429,0.01799460095310107,0.29064295023168635,0.59781577345319,0.9093457710255185,0.7671854404096253,0.9101095786360017,0.9481583127466924,0.7576961142449968,0.011604511191790932,0.9961989654439669,0.8912474110867028,0.8462812384455193,0.9210050876410928,0.9238253648370713,0.8944956184451931,0.8928101736237597,0.9198287321198327,0.9642811245232014,0.3194569803408191,0.8949055019319212,0.9481583127466924,0.2906773733531569,0.23158231156707987,0.3045434835484814,0.3152867076169419,0.00046399554224349704,0.8876877248793461,0.8538486079494333,0.8876877248793461,0.8814710854895373,0.59781577345319,0.9093457710255185,0.5885113741169367,0.697262910289896,0.29527470936305245,0.3290139073410216
ppg_red_max,0.07270460932884343,0.9297273568016635,0.8521067628297596,0.0,0.978673374373616,0.1942036135852036,0.562655359606658,0.5541474228684063,0.1621994957574978,0.3040985305105761,0.8885549064318348,0.801609791960679,0.6267333433889819,0.8047943232809909,0.9294439020560202,0.9544397298853173,0.010834516861726609,0.870352894196644,0.9415311046197121,0.8281207411113879,0.8722006923810415,0.8585341709063024,0.9885081557666258,0.8584289270956655,0.9186390226322705,0.9560499310263891,0.19832422298873392,0.844162827197166,0.9294439020560202,0.3147042595084915,0.2005900703674598,0.3130437246416786,0.31367719130668303,0.017220890014347463,0.9376320934245281,0.9157103718597904,0.9376320934245281,0.7232662818946145,0.8885549064318348,0.801609791960679,0.8651642422348171,0.4557127494713831,0.24200684320919552,0.22017145858235443
ppg_red_range,0.10126152384599704,0.9711202116000988,0.941445793169953,0.978673374373616,0.0,0.18218089633598308,0.6248147744798362,0.618659472476298,0.09742933316506362,0.30998419733992827,0.8070686518312968,0.8733327195347121,0.704875635059715,0.8756840551791437,0.9709200380898938,0.9122662253014081,0.0024250332527179018,0.9517084139419368,0.9563692656180237,0.8656587124830991,0.9233851179624785,0.915687827205542,0.9879077687319227,0.9034465279938411,0.9528399199191975,0.9943884091108842,0.25315176404448,0.8950784332534174,0.9709200380898938,0.3168301361617156,0.22012055855669785,0.32120285015610744,0.3258276704183253,0.011276168632365925,0.9524602617792282,0.9250559468810089,0.9524602617792282,0.8119213799325503,0.8070686518312968,0.8733327195347121,0.7883479195062728,0.567255992652878,0.27180143234443876,0.2709773054760109
ppg_red_median,0.5591504016510406,0.22146750693638795,0.1454032675494612,0.1942036135852036,0.18218089633598308,0.0,0.3106732423774547,0.2899826478440341,0.2651360614018226,0.02820380401424315,0.13484968619803622,0.21766358863645155,0.2370229595725758,0.21765874975248473,0.22180898701818005,0.12230206113464538,0.002052031357762865,0.1385400667269716,0.1798299138685657,0.2379973801349197,0.2539820893100385,0.25938604960757133,0.21369684124168636,0.2484461502302906,0.21859458964482134,0.1830987613421064,0.5420376015725309,0.26341490200629436,0.22180898701818005,0.06842116542057003,0.01810044373478872,0.03510095327485612,0.019243874452403515,0.010134324745566357,0.1386413414019334,0.09720801824784112,0.1386413414019334,0.22100845522649012,0.13484968619803622,0.21766358863645155,0.20982517696701578,0.21969583018410066,0.012886725573165045,0.017558450755721076
ppg_red_iqr,0.24138592190134675,0.7828930330465622,0.6683818843922256,0.562655359606658,0.6248147744798362,0.3106732423774547,0.0,0.9974586177558583,0.09676895155151305,0.021777020216908305,0.3165272916946787,0.8372339053490544,0.917275604526344,0.8363412503853208,0.7832419117187812,0.3615378335307973,0.12268229377888021,0.6525024946274163,0.7487670007549689,0.8959850143359892,0.8472819514414404,0.8429452786007817,0.648263753994212,0.8782488055605607,0.8029852569127618,0.6658211453347164,0.1539721635423057,0.9017255198741163,0.7832419117187812,0.049355121943423556,0.09447077914488915,0.007649735543720889,0.03131935652948532,0.11973329177369553,0.4623445996432127,0.34750043306780276,0.4623445996432127,0.8459481690647969,0.3165272916946787,0.8372339053490544,0.34374663157973884,0.8048862384600518,0.11316405893763243,0.21412560383299567
ppg_red_mad,0.2298682587802737,0.7790801119332362,0.666663889509429,0.5541474228684063,0.618659472476298,0.2899826478440341,0.9974586177558583,0.0,0.09723366143638887,0.021938259373861436,0.30550319660188624,0.8358576958138372,0.9191604589044935,0.8348882365725966,0.7794117204873554,0.35046863068949236,0.12497629263844748,0.6508753161325744,0.7442746930298192,0.893909011788687,0.8449411060253746,0.8416225273963365,0.6418747154053518,0.8760159228046349,0.7998561821313341,0.6615422133693016,0.14549376009587864,0.8988266395683981,0.7794117204873554,0.04777310396816166,0.09199847889083884,0.008160101554595017,0.03145223596326353,0.1222238070492861,0.45379781679708847,0.33822163964525204,0.45379781679708847,0.846838118489406,0.30550319660188624,0.8358576958138372,0.3283209931572992,0.8080405454409597,0.11135038698702003,0.21471286051121122
ppg_red_skew,0.1386289741787403,0.09273943979963636,0.01799460095310107,0.1621994957574978,0.09742933316506362,0.2651360614018226,0.09676895155151305,0.09723366143638887,0.0,0.2686418357688491,0.1263302146340854,0.09593008549127095,0.0997883967510285,0.09638352215167144,0.0927337975527681,0.08366165403013492,0.03461311592890136,0.019858692171101935,0.058981764196219394,0.0951965576115087,0.09766169645138317,0.12848466844729353,0.17336318299917858,0.09731669061689126,0.09132283708451709,0.08568227415068957,0.21595066007026065,0.09850041685011232,0.0927337975527681,0.24334145115187053,0.15176087875006958,0.23522443635646997,0.20981838984614992,0.010954451139567393,0.06034547258802561,0.042775017346213084,0.06034547258802561,0.08830232414567488,0.1263302146340854,0.09593008549127095,0.10253602382704342,0.07283461405503931,0.07981781532914069,0.11227474181963434
ppg_red_kurtosis,0.04514373428770332,0.23851098447187488,0.29064295023168635,0.3040985305105761,0.30998419733992827,0.02820380401424315,0.021777020216908305,0.021938259373861436,0.2686418357688491,0.0,0.22671053475027583,0.19835747230797773,0.08225645286518599,0.1991296117562578,0.2386501946843296,0.23735678824325157,0.013150200521979521,0.28835371490412903,0.22167461153830212,0.1182791485892808,0.15553699446606614,0.19540908611373603,0.3088529369208007,0.13883754703736675,0.21324445452380125,0.3065147941618513,0.12070235236873182,0.15251132957819488,0.2386501946843296,0.8606249949805974,0.8225426834105942,0.9322866930964989,0.8878808189647766,0.046798544658746596,0.2424348443583942,0.26492387810750345,0.2424348443583942,0.18919158402603298,0.22671053475027583,0.19835747230797773,0.1799926361748239,0.09804171840663138,0.5798540361128627,0.4999525520082271
