feature,nan_ratio,variance
ppg_red_mean,0.0,1060.2163768194607
ppg_red_std,0.0,453647.3810205694
ppg_red_p95_p5,0.0,4247937.556460302
ppg_red_p99_p1,0.0,15148999.698414348
ppg_red_trim_mean_10,0.0,1825.232161730628
ppg_red_mean_abs,0.0,183871.2348704246
ppg_red_rms,0.0,454190.19096296607
ppg_red_crest_factor,0.0,0.4352058700463412
ppg_red_shape_factor,0.0,0.032724547218066606
ppg_red_impulse_factor,0.0,2.1648825864954535
ppg_red_clearance_factor,0.0,6.9544891370460435
ppg_red_mean_cross_rate,0.0,0.0011938081519278865
ppg_red_tke_mean,0.0,162204947737.08997
ppg_red_tke_std,0.0,3682537461047.666
ppg_red_tke_mean_abs,0.0,162204947737.08997
ppg_red_tke_p95_abs,0.0,181241.30361348463
ppg_red_dx_mean,0.0,369.75431029496235
ppg_red_dx_std,0.0,50245.833935858165
ppg_red_ddx_mean,0.0,25.98917030908686
ppg_red_ddx_std,0.0,35158.658073689825
ppg_red_dx_kurtosis,0.0,33.126571602062675
ppg_red_p90_p10,0.0,1966875.070336601
ppg_red_p99,0.0,4560612.67897578
ppg_red_p95,0.0,868371.3316951384
ppg_red_diff_mean,0.0,369.75431029496235
ppg_red_min,0.0,3909970.4962941376
ppg_red_max,0.0,10533206.460593762
ppg_red_range,0.0,25379996.501235895
ppg_red_median,0.0,4439.391981892763
ppg_red_iqr,0.0,342736.23085008137
ppg_red_mad,0.0,81941.39136282184
ppg_red_skew,0.0,0.3907327130209115
ppg_red_kurtosis,0.0,4.415480287835012
ppg_red_diff_std,0.0,50245.833935858165
ppg_red_p90,0.0,540419.7763448252
ppg_red_diff_mean_abs,0.0,18468.037838404558
ppg_red_diff_rms,0.0,50586.43277697777
ppg_red_signal_rms,0.0,454190.19096296607
ppg_red_signal_energy,0.0,8.727335875052484e+17
ppg_red_zcr,0.0,0.0011435279678634373
ppg_red_p1,0.0,3422244.671302999
ppg_red_p5,0.0,1348434.5399245436
ppg_red_p10,0.0,461745.38246364944
ppg_red_ddx_kurtosis,0.0,71.11916103131217
