feature,nan_ratio,variance
ppg_green_sdsd,0.9798657718120806,2444.711121791012
ppg_green_hr_mean,0.6630872483221476,927.5392754805829
ppg_green_hr_std,0.6630872483221476,129.2626741949924
ppg_green_hr_min,0.6630872483221476,725.9206753505082
ppg_green_hr_max,0.6630872483221476,1271.770340017068
ppg_green_hr_range,0.6630872483221476,280.88318485691497
ppg_green_hr_median,0.6630872483221476,925.0777192067636
ppg_green_rmssd,0.6630872483221476,6485.345298626089
ppg_green_sdnn,0.6630872483221476,3247.5639318583585
ppg_green_pnn50,0.6630872483221476,2426.2886479756057
ppg_green_pnn20,0.6630872483221476,1442.5443423296633
ppg_green_mean_ibi,0.6630872483221476,20432.82982092112
ppg_green_cv_ibi,0.6630872483221476,0.008926359206670094
ppg_green_n_peaks,0.0,1.807967659114454
ppg_green_peak_quality,0.0,0.1988603286138262
