,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
ppg_red_n_peaks,0.2941391963869654,0.17885515120099865,0.11921740402040272,-0.301930116368497,0.7385132236563556,0.24558712465041602,-0.3984989957440995,0.0957367510813269,-0.016317785638402034,-0.039091716196454296,0.020162240111324132,-0.015350657653075443
ppg_red_hr_std,0.07009107870376134,0.5055910853549903,-0.07275334336620366,0.15577987981222538,-0.1103032514974472,0.04554615994828922,-0.008155942562766234,0.14143463035023834,-0.24821246624821816,0.5259167979416601,0.42780966454812025,-0.39290447349589513
ppg_red_hr_max,0.33826307972481084,0.3295370754292535,-0.04652385209727284,-0.07351719668969192,-0.02258486753267774,-0.202256741060336,0.1712733476570427,-0.018539032269320296,0.47172704076145544,0.46202375116792066,-0.38571008728399375,0.3369768802857667
ppg_red_hr_range,0.15142600102589374,0.4642696773036857,0.16523948583439,-0.058125415368461,-0.10846570440408017,-0.10120099358449666,0.014917431994304842,-0.7477373756888063,-0.03151893563425904,-0.37060704351890483,0.07611670962645198,-0.07324097863709754
ppg_red_rmssd,-0.4060447668675254,0.1866015585281325,0.1231908632297284,0.035677384808499794,0.1663294636568124,-0.1600701723651068,0.057857115958712214,0.16660243381610165,0.6654582872579207,-0.18179516133737422,0.47283125411649135,0.0036422612676999828
ppg_red_sdnn,-0.38313177219474187,0.20911811586454457,0.11552318304404693,0.25275273594642633,-0.0321162196663899,0.19270785156790943,-0.30864196960182944,5.524555857833114e-05,0.18795061161873708,0.009658164772896658,-0.6038014332681261,-0.4459008723455452
ppg_red_sdsd,-0.3704048639323493,0.11727647207619694,0.12310623374224852,-0.058852188572651856,0.4177591223151888,-0.6250100491825195,0.25069509966995474,0.012950373534735007,-0.3954684461045265,0.08556162310679725,-0.1963027240563502,-0.0009525081491013175
ppg_red_pnn50,-0.30856408514355066,0.17470118631775833,-0.23276007255107217,-0.38346773676576157,0.10139995015153004,0.5567466939154816,0.5827654052273596,-0.06621426756299781,-0.03518228612914885,0.009397939900645563,-0.08640195145211918,0.0016896043345130253
ppg_red_pnn20,-0.2309866368909627,0.08988169013089242,-0.4109868583167181,-0.6460107706248139,-0.29501876535657373,-0.24114302826795195,-0.45396330130311313,0.026678379998055377,-0.003208944767136992,0.017796485421254657,0.0016728896733565484,-0.004010513792546904
ppg_red_mean_ibi,-0.368886003740886,-0.2437956123075487,0.2063095466638365,0.028393511105863172,0.08587614010101188,0.17863885642648572,-0.24916353621917628,-0.5029028647108441,0.0012269780571426596,0.5348401942826444,0.16303632267319776,0.30692067730967787
ppg_red_cv_ibi,-0.1939400758563114,0.44377481157999465,-0.010303770377194845,0.26745645219645187,-0.11677693090302378,0.1701872385161521,-0.1966406040189076,0.24954416072470723,-0.27169737829458573,-0.20591808052185007,-0.02620777070861933,0.658303205619885
ppg_red_peak_quality,0.009964954153845901,0.031169958724733045,0.8009941447433481,-0.4128565418418428,-0.3295562391517373,0.06383075238351127,0.06059212771987266,0.25134062595611334,-0.07056868567738428,0.04174870493261462,-0.024294842808003578,-0.006975689708791288
