feature,reason,value
ppg_infra_signal_rms,|corr|>=0.95,1.0
ppg_infra_tke_mean_abs,|corr|>=0.95,1.0
ppg_infra_dx_mean,|corr|>=0.95,1.0
ppg_infra_diff_std,|corr|>=0.95,1.0
ppg_infra_diff_rms,|corr|>=0.95,0.9999998390962499
ppg_infra_std,|corr|>=0.95,0.999999172694971
ppg_infra_mad,|corr|>=0.95,0.9983308998757064
ppg_infra_p90_p10,|corr|>=0.95,0.9913766454815015
ppg_infra_rms,|corr|>=0.95,0.9909699753925153
ppg_infra_p95_p5,|corr|>=0.95,0.9891155530904282
ppg_infra_dx_std,|corr|>=0.95,0.9853122413748235
ppg_infra_range,|corr|>=0.95,0.9850632356174166
ppg_infra_mean_abs,|corr|>=0.95,0.982932285852139
ppg_infra_p99_p1,|corr|>=0.95,0.9763032525171509
ppg_infra_p1,|corr|>=0.95,0.9731824568047974
ppg_infra_p99,|corr|>=0.95,0.9708047698337501
ppg_infra_p95,|corr|>=0.95,0.9649723227761068
ppg_infra_tke_p95_abs,|corr|>=0.95,0.9648410167249333
ppg_infra_p10,|corr|>=0.95,0.9646301268393842
ppg_infra_ddx_std,|corr|>=0.95,0.9556909497946794
