,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
acc_x_dyn__harmonic_mean_of_abs,0.23290514237831172,-0.09890504159678579,-0.06493186903516958,-0.15283083687618615,0.2458696360388328,-0.0786492858506022,-0.15392788217055747,0.005803043767399401,-0.16078746543244463,-0.15754737655652531,-0.013358450294370423,-0.04939454171684021,0.2283072601460313,0.09336015985048174,-0.3405278999010256,-0.06826035449005431,0.3436286326217707,0.3657444051937662,-0.3960485602955625,0.369041012040043,-0.14166155708964268,0.06465397488262278,0.013052464280233772,-0.0588957774495123,-0.08985009239747524,0.012793973633819011,-0.03411383351719191,-0.028494186750066115,-0.01698429371580755
acc_x_dyn__quantile_0.4,-0.19955672791395743,0.09395586026963973,0.037439827869593746,0.05133763310299935,-0.37846024690715113,-0.21623655033859482,-0.16102331713909293,-0.45466794189284515,0.031203487581926277,0.14921416723715017,-0.059563610032677836,0.061824013038478856,-0.008066306024231773,-0.04728839788588656,0.05931216719493135,0.042501498524407925,0.02211451576178951,0.06353533354823182,-0.12739660227767494,0.18295432717119664,-0.14420743147460696,0.05210256700788691,-0.11352137423660716,-0.02239114148451935,-0.08018931847550836,0.5993258619501322,0.1654881902335037,0.04273307893240903,0.021793794616341015
acc_z_dyn__approximate_entropy_0.1,0.013352768623721758,0.012971793179188047,-0.5883868256046288,0.049813691870662695,-0.10461474514509318,0.021654844542360996,-0.033028491944338156,0.10706896035575542,-0.13752191749665985,0.3737003713062764,0.39291242988019265,-0.13988496788874233,0.41975472381931966,-0.08719575427170169,0.18243884982917133,-0.13675657258417367,0.13520866411034693,-0.16101558057308582,-0.0434919611845132,-0.07016805190165966,-0.05785118980392135,0.039807723669333335,0.03725058892692326,0.017680445574520105,-0.007761487526841256,0.017682647878613657,0.007575286617774959,0.01927596408401452,-0.015922179013919697
acc_z_dyn__quantile_0.4,-0.16348206111247884,0.031180498034555065,0.04626291234103179,-0.06762578191658465,0.36158024270778144,0.45689637063030797,0.04646551546887832,-0.39707418402361083,0.0692910907137395,0.27342946071162,0.16515365792613318,0.04205891356212407,-0.008457684255373766,0.03844672048345395,-0.14905834964890877,0.015743482924061355,-0.0498803392231907,-0.026805207968309697,-0.05592708981157278,-0.005635398520944779,-0.037654474649648204,-0.03318230646447785,-0.45700453421392695,0.23047158802015577,-0.21748364716632324,-0.09881379027819841,-0.048378001834647334,0.007182116479888094,-0.057707274018321236
acc_x_dyn__sample_entropy,0.09747922816337093,0.3497034372733904,-0.025212329647389623,0.05432340642142195,-0.12329546595006538,0.04139173874029,0.02376442969449185,0.009513288512551432,-0.23948848219806132,0.024959583523265026,0.009005075331619141,-0.2898932049820859,-0.2055793649527523,0.5130815592769168,-0.15637377255512078,-0.15320470515759452,-0.06868888788546376,-0.3333417591300901,-0.0005704134692012583,0.28155596780276526,0.281449318397572,0.2549747343773802,-0.07287140450651419,-0.07199742588817337,-0.03579702232830373,0.007024845550386826,-0.01810545654412306,0.004389069135088255,0.0022148852042841462
acc_y_dyn__harmonic_mean_of_abs,0.22331311420668573,-0.09181990752024544,-0.02334789620158267,0.35605681881739115,0.015114805223160393,0.030311154347626927,0.029228007720470774,-0.07830402297439745,-0.001861624797974016,-0.06003139426912152,0.07872198551349528,-0.09593797367607675,-0.047859873442948155,0.000789120512858884,0.04502906634911308,0.7299288188382959,0.39075273617922746,-0.1887893544865925,0.02396456969923312,0.05970074332052574,0.1311107388503852,-0.08338932041466315,-0.041568154044281116,0.04535250038246438,-0.016014306039142976,0.07011251793031924,-0.15649281577225632,0.007019510388230227,0.0038371832326603503
acc_y_dyn__sample_entropy,0.05907363273711069,0.34858651499873095,-0.0384795753628239,-0.046552635005938425,0.03806649716792595,-0.001498307516947257,-0.2616797565448933,0.15684434162326102,0.11092939667941477,0.07393603784280964,0.001340257255233285,0.4309272147370234,0.13816897328310188,0.4913946815528116,0.09531472194533404,0.26237696719797693,-0.15137044502406005,0.018303643876986575,-0.2856467557405155,-0.25805423662699783,-0.09912814398204824,-0.18928276822102885,0.010995544651361247,-0.12822840157104018,-0.017331627824076334,-0.0033311745881424003,0.00835940950382814,-0.01610126696759532,-0.02391220567949941
acc_z_dyn__sum_of_absolute_changes,0.2740284268626125,-0.010872040816811772,0.0984995364969725,-0.1320415419268884,-0.204385554599937,-0.03394149456719307,0.07162324785702312,-0.007112737420876784,0.20610170365404173,0.013148287787990117,-0.017973471269029307,-0.08392024098516188,0.12265150497336766,-0.053229824915095876,-0.1568545586645748,-0.04901813563115883,-0.10334525521829445,-0.20585802697411737,0.10482398542185539,0.033656178070877146,-0.13569725259660995,-0.23312876451289544,0.14166841512927253,-0.0994732273548817,-0.539865643297882,0.01414312047867907,-0.18419303234132964,0.14865374088302713,-0.4889392617592505
acc_y_dyn__avg_amplitude_change,0.2704795815589666,-0.01945112349341197,0.10679279043959275,0.21778860295653982,-0.018214701854171702,-0.098621731216754,0.0837487023520271,-0.053512598426893446,0.12797189902071243,-0.03577672797897073,0.33445330645364524,0.09346057517136776,-0.08367307086437169,0.0010889710555438525,-0.009377867600407477,-0.1290407778894605,-0.07486136135977453,0.01300016803345848,-0.00874052954472093,-0.0242792776081117,-0.09160885451367846,0.018482014853412318,0.06229832599362752,-0.0746997952045412,-0.4463542565995929,-0.08917822418932012,0.1267442378413186,0.0025486076678181637,0.6616709215501356
acc_z_dyn__quantile_0.6,0.17336555093819267,-0.05658031905997549,0.004516128679657645,-0.2071683629511473,-0.0767262943693116,0.5728603901288536,-0.08090384513195188,-0.3062246051633799,-0.015234268185656817,-0.10330035175571796,0.16497318148656812,0.047029809497483824,-0.11964881151681653,0.0002782614886121073,0.15180449072972338,-0.04552277817126853,0.01787020146855382,-0.10233431591658282,-0.031559184244823416,0.16941092991458848,-0.07272258455815772,-0.180012540291693,0.4422780872012178,-0.2408942989857086,0.25435039160772216,0.04963837993384753,0.08335252466232297,-0.0384358697724509,0.04755400903206917
