feature,nan_ratio,variance
acc_y_dyn__exponential_moving_average,0.0,2973.0608357418487
acc_y_dyn__energy_ratio_by_chunks_3,0.0,0.04738481074188184
acc_y_dyn__energy_ratio_by_chunks_2,0.0,0.027820700960467112
acc_y_dyn__energy_ratio_by_chunks_1,0.0,0.027619380024707377
acc_y_dyn__energy_ratio_by_chunks_0,0.0,0.04587763438191919
acc_y_dyn__mean_absolute_change,0.0,137.353489489086
acc_y_dyn__sum_of_absolute_changes,0.0,545155.9997821825
acc_y_dyn__mean_relative_change,0.0,1339.245654918816
acc_y_dyn__mean_second_derivative_central,0.0,0.04702006089077351
acc_y_dyn__sum_of_reoccurring_values,0.0,0.0
acc_y_dyn__sum_of_positive_values,0.0,1938198.478152871
acc_z_dyn__quantile_0.9,0.0,4146.937128204748
acc_y_dyn__total_sum,0.0,486682.6615120074
acc_y_dyn__stochastic_oscillator_value,0.0,837.3371636319898
acc_y_dyn__signal_to_noise_ratio,0.0,0.11324460938618833
acc_y_dyn__signal_resultant,0.0,169193.30123612907
acc_y_dyn__ratio_value_number_to_sequence_length,0.0,0.0
acc_y_dyn__ratio_positive_to_negative,0.0,0.13417307264803802
acc_y_dyn__ratio_negative,0.0,0.005499676662093926
acc_y_dyn__ratio_positive,0.0,0.005499676662093926
acc_y_dyn__ratio_beyond_r_sigma_10,0.0,0.0
acc_y_dyn__ratio_beyond_r_sigma_7,0.0,0.0
acc_y_dyn__ratio_beyond_r_sigma_6,0.0,0.0
acc_y_dyn__ratio_beyond_r_sigma_5,0.0,1.4766564651890864e-07
acc_y_dyn__ratio_beyond_r_sigma_3,0.0,8.747467684589996e-05
acc_y_dyn__ratio_beyond_r_sigma_2.5,0.0,0.00034325721094365954
acc_y_dyn__ratio_beyond_r_sigma_2,0.0,0.0007919791899423707
acc_y_dyn__ratio_beyond_r_sigma_1.5,0.0,0.001188153203031241
acc_y_dyn__ratio_beyond_r_sigma_1,0.0,0.005520998366203282
acc_y_dyn__ratio_beyond_r_sigma_0.5,0.0,0.01140479063895563
acc_y_dyn__percentage_of_reoccurring_values_to_all_values,0.0,0.0
acc_y_dyn__percentage_of_reoccurring_datapoints_to_all_datapoints,0.0,0.0
acc_y_dyn__percentage_of_positive_values,0.0,176.37706309864745
acc_y_dyn__percentage_of_negative_values,0.0,176.37706309864745
acc_y_dyn__peak_to_peak_distance,0.0,37499.55113414982
acc_y_dyn__number_of_inflection_points,0.0,4.354494201881185
acc_y_dyn__mode,0.0,10241.921410469504
acc_y_dyn__median_second_derivative_central,0.0,0.6287648771204638
acc_z_dyn__quantile_0.8,0.0,1812.9468919559163
acc_z_dyn__sample_entropy,0.0,0.0757613885795439
acc_z_dyn__mean_abs_deviation,0.0,914.1410262633584
acc_z_dyn__lower_complete_moment,0.0,138041069.7643414
acc_z_dyn__ratio_beyond_r_sigma_1,0.0,0.006100703628749102
acc_z_dyn__ratio_beyond_r_sigma_0.5,0.0,0.012463547223923807
acc_z_dyn__percentage_of_reoccurring_values_to_all_values,0.0,0.0
acc_z_dyn__percentage_of_reoccurring_datapoints_to_all_datapoints,0.0,0.0
acc_z_dyn__percentage_of_positive_values,0.0,177.86355857494686
acc_z_dyn__percentage_of_negative_values,0.0,177.86355857494686
acc_z_dyn__peak_to_peak_distance,0.0,37407.76866454156
acc_z_dyn__number_of_inflection_points,0.0,4.672410448232854
acc_z_dyn__mode,0.0,10335.381234396255
acc_z_dyn__median_second_derivative_central,0.0,0.7652351614934545
acc_z_dyn__mean_second_derivative_central,0.0,0.04783206361471185
acc_z_dyn__mean_relative_change,0.0,14.85215274053091
acc_z_dyn__sum_of_absolute_changes,0.0,512428.6043171541
acc_z_dyn__mean_absolute_change,0.0,129.10773603354855
acc_z_dyn__longest_strike_below_mean,0.0,77.0714388648571
acc_z_dyn__ratio_beyond_r_sigma_2,0.0,0.0008829872507572079
acc_z_dyn__longest_strike_above_mean,0.0,72.29737819079061
acc_z_dyn__local_minima,0.0,2.5851033025638404
acc_z_dyn__local_maxima,0.0,2.6083514512888306
acc_z_dyn__lin_trend_std_err,0.0,0.09393572414917822
acc_z_dyn__lin_trend_p_value,0.0,0.07841373377276477
acc_z_dyn__lin_trend_R2,0.0,0.04967435917685311
acc_z_dyn__lin_trend_intercept,0.0,1885.130001773516
acc_z_dyn__lin_trend_slope,0.0,1.7643403168340035
acc_z_dyn__last_location_of_minimum,0.0,410.01842360336826
acc_z_dyn__last_location_of_maximum,0.0,408.27901302828286
acc_z_dyn__histogram_bin_frequencies_9,0.0,15.948321349362029
acc_z_dyn__histogram_bin_frequencies_8,0.0,17.679417206250942
acc_z_dyn__histogram_bin_frequencies_7,0.0,22.7709486575471
acc_z_dyn__histogram_bin_frequencies_6,0.0,24.81993495890358
acc_z_dyn__ratio_beyond_r_sigma_1.5,0.0,0.0012551568826027295
acc_z_dyn__ratio_beyond_r_sigma_2.5,0.0,0.0003696487441787551
acc_z_dyn__histogram_bin_frequencies_4,0.0,28.34726625578726
acc_z_dyn__sum_of_reoccurring_data_points,0.0,0.0
acc_z_dyn__number_cwt_peaks_1,0.0,1.4540231791266502
acc_z_dyn__benford_correlation,0.0,0.03814619745559348
acc_z_dyn__cid_ce,0.0,1.201580223977065
acc_z_dyn__lempel_ziv_complexity,0.0,0.0012424752233427265
acc_z_dyn__large_std,0.0,0.0
acc_z_dyn__min_has_duplicates,0.0,0.0
acc_z_dyn__max_has_duplicates,0.0,0.0
acc_z_dyn__has_duplicates,0.0,0.0
acc_z_dyn__adf_usedlag,0.0,0.0004033070527171154
acc_z_dyn__adf_pvalue,0.0,0.0846858169794305
acc_z_dyn__adf_teststats,0.0,1.6564628614329067
acc_z_dyn__zero_crossing_rate,0.0,0.002681201290232066
acc_z_dyn__winsorized_mean,0.0,136.79374209703454
acc_z_dyn__variance_of_absolute_differences,0.0,236761.94495473977
acc_z_dyn__sum_of_reoccurring_values,0.0,0.0
acc_z_dyn__ratio_beyond_r_sigma_3,0.0,9.729393561433859e-05
acc_z_dyn__sum_of_positive_values,0.0,1632338.072311968
acc_z_dyn__sum_of_negative_values,0.0,1625043.5831362754
acc_z_dyn__total_sum,0.0,559259.4013271363
acc_z_dyn__stochastic_oscillator_value,0.0,853.6773447185464
acc_z_dyn__signal_to_noise_ratio,0.0,0.11432204710475452
acc_z_dyn__signal_resultant,0.0,147697.71729010114
acc_z_dyn__ratio_value_number_to_sequence_length,0.0,0.0
acc_z_dyn__ratio_positive_to_negative,0.0,0.12851086632518086
acc_z_dyn__ratio_negative,0.0,0.0055854221290371235
acc_z_dyn__ratio_positive,0.0,0.005585422129037124
acc_z_dyn__ratio_beyond_r_sigma_10,0.0,0.0
acc_z_dyn__ratio_beyond_r_sigma_7,0.0,0.0
acc_z_dyn__ratio_beyond_r_sigma_6,0.0,0.0
acc_z_dyn__ratio_beyond_r_sigma_5,0.0,2.4601005300822093e-07
acc_z_dyn__histogram_bin_frequencies_5,0.0,27.755899851085687
