feature,reason,value
acc_x_dyn__trimmed_mean_abs_0.2,|corr|>=0.95,0.9982604786602468
acc_z_dyn__trimmed_mean_abs_0.1,|corr|>=0.95,0.9980544238405773
acc_z_dyn__trimmed_mean_abs_0.2,|corr|>=0.95,0.9979912489213514
acc_y_dyn__trimmed_mean_abs_0.3,|corr|>=0.95,0.9977701509059191
acc_y_dyn__cumulative_sum,|corr|>=0.95,0.9975868398898114
acc_y_dyn__area_under_curve,|corr|>=0.95,0.9973080329190497
acc_x_dyn__trimmed_mean_abs_0.3,|corr|>=0.95,0.9972487802952805
acc_z_dyn__mean,|corr|>=0.95,0.9966819776711748
acc_z_dyn__trimmed_mean_abs_0.3,|corr|>=0.95,0.996519006901094
acc_x_dyn__area_under_curve,|corr|>=0.95,0.9958123126926475
acc_x_dyn__trimmed_mean_0.3,|corr|>=0.95,0.9949754196882186
acc_z_dyn__log_of_energy,|corr|>=0.95,0.994396391405875
acc_z_dyn__trimmed_mean_0.25,|corr|>=0.95,0.9943475059210988
acc_x_dyn__mean,|corr|>=0.95,0.9942736073121576
acc_x_dyn__log_of_energy,|corr|>=0.95,0.9940752527333644
acc_y_dyn__trimmed_mean_0.3,|corr|>=0.95,0.9938572982092466
acc_y_dyn__trimmed_mean_abs_0.1,|corr|>=0.95,0.9937005450959477
acc_y_dyn__log_of_energy,|corr|>=0.95,0.9932365003449398
acc_z_dyn__higuchi_fractal_dimensions_k=6,|corr|>=0.95,0.9930741818581145
acc_y_dyn__higuchi_fractal_dimensions_k=6,|corr|>=0.95,0.9920397078774364
acc_z_dyn__area_under_curve,|corr|>=0.95,0.9916788031637954
acc_x_dyn__higuchi_fractal_dimensions_k=6,|corr|>=0.95,0.9914214263151329
acc_y_dyn__std_of_abs,|corr|>=0.95,0.9907996684354606
acc_y_dyn__std,|corr|>=0.95,0.9904751031644073
acc_x_dyn__trimmed_mean_abs_0.1,|corr|>=0.95,0.9904125919848811
acc_x_dyn__std,|corr|>=0.95,0.9903257782860913
acc_z_dyn__trimmed_mean_0.2,|corr|>=0.95,0.989639097857206
acc_x_dyn__trimmed_mean_0.2,|corr|>=0.95,0.9894753059682649
acc_y_dyn__trimmed_mean_0.2,|corr|>=0.95,0.9891500214825384
acc_z_dyn__std_of_abs,|corr|>=0.95,0.9884718140855685
acc_y_dyn__peak_to_peak_distance,|corr|>=0.95,0.9879771387203736
acc_x_dyn__std_of_abs,|corr|>=0.95,0.9873674457244809
acc_x_dyn__range_of_abs,|corr|>=0.95,0.9873045384834126
acc_z_dyn__std,|corr|>=0.95,0.9864940927279212
acc_y_dyn__trimmed_mean_0.15,|corr|>=0.95,0.9862354357488934
acc_z_dyn__trimmed_mean_0.15,|corr|>=0.95,0.9861283396063852
acc_y_dyn__geometric_mean_of_abs,|corr|>=0.95,0.9860248661029221
acc_x_dyn__geometric_mean_of_abs,|corr|>=0.95,0.9855905133914871
acc_z_dyn__peak_to_peak_distance,|corr|>=0.95,0.9853426495967095
acc_y_dyn__median_of_abs,|corr|>=0.95,0.9853088742768732
acc_y_dyn__quantile_0.8,|corr|>=0.95,0.9852093632497049
acc_x_dyn__clearance_factor,|corr|>=0.95,0.9849146072096377
acc_z_dyn__geometric_mean_of_abs,|corr|>=0.95,0.9842032961537471
acc_x_dyn__trimmed_mean_0.15,|corr|>=0.95,0.984096488798912
acc_y_dyn__iqr,|corr|>=0.95,0.9840029672408719
acc_y_dyn__impulse_factor,|corr|>=0.95,0.9839390828210377
acc_y_dyn__quantile_0.75,|corr|>=0.95,0.9810413690975659
acc_y_dyn__quantile_0.2,|corr|>=0.95,0.9805842954162606
acc_x_dyn__median_of_abs,|corr|>=0.95,0.9796850057722456
acc_z_dyn__median_of_abs,|corr|>=0.95,0.9783836840574813
acc_x_dyn__iqr,|corr|>=0.95,0.9778986973176622
acc_y_dyn__sum_of_positive_values,|corr|>=0.95,0.9767722296365137
acc_z_dyn__iqr,|corr|>=0.95,0.97667135714603
acc_z_dyn__impulse_factor,|corr|>=0.95,0.9760979709940215
acc_x_dyn__lin_trend_std_err,|corr|>=0.95,0.9758031782740847
acc_z_dyn__petrosian_fractal_dimension,|corr|>=0.95,0.9752236372539189
acc_z_dyn__quantile_0.8,|corr|>=0.95,0.9750389864565454
acc_x_dyn__quantile_0.2,|corr|>=0.95,0.9741664749296514
acc_y_dyn__sum_of_negative_values,|corr|>=0.95,0.9736075122434624
acc_y_dyn__no._of_slope_sign_changes,|corr|>=0.95,0.9708903938658102
acc_y_dyn__quantile_0.25,|corr|>=0.95,0.9705398281103574
acc_z_dyn__autoregressive_model_coefficients_1,|corr|>=0.95,0.9696804223105355
acc_y_dyn__autoregressive_model_coefficients_1,|corr|>=0.95,0.9694691283851073
acc_x_dyn__autoregressive_model_coefficients_1,|corr|>=0.95,0.9692432542458155
acc_x_dyn__quantile_0.8,|corr|>=0.95,0.9687754990809566
acc_z_dyn__quantile_0.75,|corr|>=0.95,0.9684516003798136
acc_x_dyn__quantile_0.25,|corr|>=0.95,0.9681577673466099
acc_x_dyn__petrosian_fractal_dimension,|corr|>=0.95,0.9681035065968482
acc_z_dyn__quantile_0.2,|corr|>=0.95,0.9678361321141565
acc_z_dyn__sum_of_positive_values,|corr|>=0.95,0.967594413906114
acc_z_dyn__quantile_0.25,|corr|>=0.95,0.9657587424064648
acc_x_dyn__impulse_factor,|corr|>=0.95,0.9657397165168512
acc_x_dyn__sum_of_positive_values,|corr|>=0.95,0.9653814533336462
acc_x_dyn__lin_trend_intercept,|corr|>=0.95,0.9637458982821117
acc_z_dyn__lin_trend_intercept,|corr|>=0.95,0.9631050830000506
acc_z_dyn__sum_of_negative_values,|corr|>=0.95,0.9622444656195835
acc_x_dyn__quantile_0.75,|corr|>=0.95,0.962128635492262
acc_x_dyn__var,|corr|>=0.95,0.9620407930661266
acc_y_dyn__range_of_abs,|corr|>=0.95,0.9610711954108535
acc_x_dyn__sum_of_negative_values,|corr|>=0.95,0.9606772429808221
acc_y_dyn__lin_trend_intercept,|corr|>=0.95,0.960486686910013
acc_y_dyn__var_of_abs,|corr|>=0.95,0.9604361623214778
acc_y_dyn__var,|corr|>=0.95,0.9595099847673074
acc_z_dyn__var,|corr|>=0.95,0.9588808205856926
acc_z_dyn__lin_trend_std_err,|corr|>=0.95,0.9573843099784015
acc_y_dyn__quantile_0.9,|corr|>=0.95,0.9562017693884309
acc_y_dyn__approximate_entropy_0.9,|corr|>=0.95,0.9557014190448115
acc_x_dyn__autoregressive_model_coefficients_2,|corr|>=0.95,0.955587351330402
acc_z_dyn__trimmed_mean_0.3,|corr|>=0.95,0.9551130388906469
acc_z_dyn__autoregressive_model_coefficients_2,|corr|>=0.95,0.9546669962640669
acc_z_dyn__approximate_entropy_0.9,|corr|>=0.95,0.953224721945696
acc_y_dyn__lin_trend_std_err,|corr|>=0.95,0.9528124876259318
acc_x_dyn__crest_factor,|corr|>=0.95,0.9527813123718961
