feature,pca_energy_score
acc_y_dyn__lin_trend_R2,0.038708389047006665
acc_y_dyn__zero_crossing_rate,0.03867083373504742
acc_x_dyn__number_cwt_peaks_5,0.03866426823272705
acc_y_dyn__harmonic_mean,0.038658789577151895
acc_z_dyn__cardinality,0.038642021798399456
acc_y_dyn__moment_order_4,0.03856511044281247
acc_x_dyn__approximate_entropy_0.1,0.038534435626020255
acc_x_dyn__moment_order_4,0.03848751873927293
acc_x_dyn__number_of_inflection_points,0.038486349843472274
acc_y_dyn__max,0.038485334089137485
acc_y_dyn__cardinality,0.03844189400099063
acc_x_dyn__moment_order_3,0.038364679955535524
acc_x_dyn__fisher_information,0.038314929020130936
acc_z_dyn__quantile_0.1,0.03830312117107936
acc_y_dyn__autoregressive_model_coefficients_2,0.03829374195801776
acc_z_dyn__percentage_of_positive_values,0.03826532521251175
acc_x_dyn__renyi_entropy,0.03823155594496639
acc_x_dyn__mean_abs_deviation,0.03818802576593218
acc_x_dyn__min_of_abs,0.03818213092516944
acc_z_dyn__histogram_bin_frequencies_3,0.03817677989634383
acc_y_dyn__number_of_inflection_points,0.03817443651902602
acc_z_dyn__approximate_entropy_0.1,0.038167366629848945
acc_x_dyn__entropy,0.03814907319906535
acc_z_dyn__sum_of_absolute_changes,0.03814813228629309
acc_z_dyn__fisher_information,0.038062183913265414
acc_x_dyn__lin_trend_R2,0.038039144704314264
acc_x_dyn__histogram_bin_frequencies_3,0.03803290586587274
acc_y_dyn__histogram_bin_frequencies_1,0.03798847449794425
acc_z_dyn__variance_larger_than_standard_deviation,0.03797234617396459
acc_y_dyn__lempel_ziv_complexity,0.037954160911564824
acc_z_dyn__number_cwt_peaks_5,0.03793964453659215
acc_y_dyn__avg_amplitude_change,0.037934877480660954
acc_y_dyn__renyi_entropy,0.03786568148952369
acc_x_dyn__number_cwt_peaks_1,0.03785731044324857
acc_y_dyn__fisher_information,0.0378564939576324
acc_x_dyn__quantile_0.1,0.03784982652522208
acc_x_dyn__max,0.03771035590998059
acc_z_dyn__number_of_inflection_points,0.03769731042078016
acc_x_dyn__autoregressive_model_coefficients_3,0.03764578134960092
acc_x_dyn__geometric_mean,0.037589778932318685
acc_y_dyn__histogram_bin_frequencies_8,0.037560726968180545
acc_x_dyn__mean_absolute_change,0.037545847746836045
acc_z_dyn__lin_trend_R2,0.03751996154679533
acc_x_dyn__histogram_bin_frequencies_4,0.03750424850176152
acc_z_dyn__histogram_bin_frequencies_8,0.03748947705336443
acc_z_dyn__histogram_bin_frequencies_7,0.03744482134868178
acc_y_dyn__histogram_bin_frequencies_4,0.03743883149125363
acc_y_dyn__autoregressive_model_coefficients_3,0.037395171745106474
acc_z_dyn__moment_order_3,0.03739248117035116
acc_y_dyn__percentage_of_positive_values,0.03735673212986948
acc_z_dyn__lempel_ziv_complexity,0.037341680041695684
acc_x_dyn__approximate_entropy_0.5,0.03734111074255904
acc_x_dyn__histogram_bin_frequencies_1,0.037309394969464414
acc_z_dyn__autoregressive_model_coefficients_4,0.03724408767594676
