feature,reason,value
ppg_red_signal_rms,|corr|>=0.95,1.0
ppg_red_dx_std,|corr|>=0.95,1.0
ppg_red_tke_mean_abs,|corr|>=0.95,1.0
ppg_red_dx_mean,|corr|>=0.95,1.0
ppg_red_diff_rms,|corr|>=0.95,0.9999999502529089
ppg_red_rms,|corr|>=0.95,0.9999995777318851
ppg_red_iqr,|corr|>=0.95,0.9988682039231251
ppg_red_mean_abs,|corr|>=0.95,0.9946182865668736
ppg_red_p90_p10,|corr|>=0.95,0.9944919885582361
ppg_red_p95_p5,|corr|>=0.95,0.9940468910949853
ppg_red_diff_std,|corr|>=0.95,0.9918821038753723
ppg_red_range,|corr|>=0.95,0.9902017167859217
ppg_red_p99_p1,|corr|>=0.95,0.9891607070331572
ppg_red_std,|corr|>=0.95,0.9882377343102938
ppg_red_p99,|corr|>=0.95,0.9854284492797221
ppg_red_p95,|corr|>=0.95,0.9837459073351765
ppg_red_p5,|corr|>=0.95,0.9819662147456453
ppg_red_p1,|corr|>=0.95,0.9789098028742742
ppg_red_p10,|corr|>=0.95,0.9777995013470281
ppg_red_tke_p95_abs,|corr|>=0.95,0.974793138297062
ppg_red_diff_mean_abs,|corr|>=0.95,0.9576710081909583
ppg_red_p90,|corr|>=0.95,0.9536047917788998
