PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.32431206357191467,0.32431206357191467
PC2,0.22644132375567214,0.5507533873275868
PC3,0.08740087191723589,0.6381542592448227
PC4,0.0788478926694053,0.717002151914228
PC5,0.053529369021098255,0.7705315209353263
PC6,0.04431787415399003,0.8148493950893163
PC7,0.042607849022594936,0.8574572441119113
PC8,0.03265980161881311,0.8901170457307244
PC9,0.026800949825347052,0.9169179955560715
PC10,0.0232339040175983,0.9401518995736697
PC11,0.013775125977100079,0.9539270255507698
PC12,0.010126757062419342,0.9640537826131892
PC13,0.008736720481356985,0.9727905030945462
PC14,0.008128869544168348,0.9809193726387145
PC15,0.005857845037909975,0.9867772176766245
PC16,0.003630904716352687,0.9904081223929772
PC17,0.00253490716999622,0.9929430295629734
PC18,0.002276245374580082,0.9952192749375535
PC19,0.0012700495925428343,0.9964893245300963
PC20,0.001235569653756738,0.997724894183853
PC21,0.0010046887119404752,0.9987295828957935
PC22,0.0008344086043125678,0.9995639915001061
PC23,0.00024883456798516386,0.9998128260680913
PC24,0.00018717393190875172,1.0
