,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
ppg_red_p90,0.3197604840195819,-0.08139160225177325,0.1447735464469717,-0.1855833804857895,-0.1695174728963494,-0.1314862398773889,-0.11671735841816817,-0.056939111149351566,0.026540262942490518,0.1611216621964665,-0.16567747155558374,-0.12171395318630746,-0.15873605789375894,0.2106194237408307,0.4782567628698396,-0.1336721375657762,-0.5577392260900532,-0.07438836428989533,-0.2507972078735443,0.03711468306806142,-0.08289458317981874
ppg_red_signal_energy,0.32668486923949863,-0.14524027754315116,-0.0814575282976698,0.22367323445339277,0.11924356715347065,0.0010883557583761436,0.04659417175723054,0.0011715587310261566,-0.027718891033722236,0.1355365847290073,0.1866278758633912,0.1394390282015248,0.08931513959224778,0.005562148553658938,0.08789419642582111,0.2698786086351783,0.018703600547429457,-0.18998905586201337,-0.05364324457468012,-0.7670923547028775,-0.09690703026819278
ppg_red_dx_mean,-0.2815440464461496,0.13186670631521788,0.09618582493621601,-0.30110269060310163,-0.16914606446148567,-0.016388606829523603,-0.12308094572967522,0.07890495115518918,-0.06884546325717862,-0.19920448329771018,0.062197176029489896,-0.1648260315067674,0.4805732281994667,-0.09114206318808724,0.44200277448818487,0.48637617080420453,0.0640447758214169,-0.007603814097782721,-0.006949964898603678,-0.0452167228951604,0.0167127550928618
ppg_red_diff_mean_abs,0.3108457449505769,-0.03967709810505218,0.24040980096170916,-0.2649213475489869,-0.08267195846307832,-0.03551157803371441,-0.10562078596764163,0.028015635378584803,0.030986662887849827,-0.11702228014156732,-0.14629264491941274,-0.0053862744285400775,-0.15154735840778535,0.06765485446580624,-0.1251288438002059,0.09849906470765456,0.5241438090553698,-0.5663985123005066,-0.22789552238487204,0.13162717426821968,7.521422977759799e-05
ppg_red_min,-0.33756640671452887,0.053197310266151474,-0.14478405806933542,0.12366816979513819,0.1339049751765834,-0.09302184295363226,0.19796105337772327,-0.08712713702197888,0.08924071327584905,-0.03020391002083993,-0.2020398517481402,0.06299994375852265,-0.20908812399255863,-0.018261916604447682,-0.18603649346910192,0.4524628359582807,-0.34831841907214045,-0.2944270451208356,-0.3576023027726791,0.047104140663351605,0.31375050685334116
ppg_red_ddx_std,0.23323199645155082,0.045780070338783695,0.2847689058839143,-0.3893641843833973,-0.15595589190683426,0.00623418787352063,-0.06614432521239698,0.10897287424658068,0.13410924329082072,-0.22029327481170366,-0.03494108488416474,-0.006755816546859104,-0.05920669526876226,-0.1898140892307109,-0.529064394460996,0.20009733718800402,-0.3250293195649415,0.27748828157033895,0.11397234618698424,-0.2174703133778032,-0.0026991234710133124
ppg_red_ddx_mean,0.25372247657488983,-0.0974301365131826,0.06151659195353568,0.35885306677495715,0.15727897544772299,0.05968991434755789,0.1730109356740773,-0.039921405858031576,0.24315053674398004,-0.2600450406433265,-0.4940366956198557,-0.4375202809104867,0.3948216373034351,-0.10583076945032387,-0.01829889054927164,-0.055928596222969966,-0.013815328394544057,0.011162666775604421,0.0004084194189874771,0.025318688444170956,0.0008539407087415639
ppg_red_dx_kurtosis,0.10849788421267693,0.3013096254638239,-0.07620192577823273,0.025574072707220966,-0.2914526364797985,0.2329520935704931,0.5013502047148213,0.1490117408918485,0.47652209695810654,-0.11159927620595222,0.28692622413997293,-0.08479717321241728,-0.25965179507079367,-0.1434877565302871,0.23680330888408682,-0.016395283545928747,0.0619536022769356,-0.027897041846169056,-0.010836568134874474,0.006329361677289519,0.006386934104684963
ppg_red_mean,0.14131742299572478,-0.08588836161530515,-0.5185927383235585,-0.2221360410804632,0.039354100850709284,-0.22524895575570678,0.10729332185062705,-0.07842536680002234,0.16237866999062056,0.17462218860951959,-0.2319058823184431,0.015464872386297795,-0.07918650691068825,0.02053116798058047,-0.009785224883277311,0.35937255365651904,0.11759738447209761,0.16562243061290813,0.14369092912929887,0.18063887963711261,-0.4930196904474367
ppg_red_clearance_factor,0.12000574273338875,0.4405018468012432,-0.08652582301760488,0.07797489399331867,0.09070471975548647,-0.01479065152547554,-0.21908816546434243,-0.04038818818072544,-0.03148317737141316,0.03783875394792629,-0.024713958220716183,-0.04978318776922018,-0.02701145455715664,-0.0855710363999176,0.011069707409047603,0.034191985943774754,-0.23817155839831816,-0.47776158881999486,0.6442884957291565,0.06756031894221506,0.020083700653798647
