,eda_scl_mean,eda_scl_std,eda_scl_min,eda_scl_max,eda_scl_range,eda_scl_slope,eda_scl_auc,eda_scr_count,eda_scr_rate,eda_scr_amp_sum,eda_phasic_mean,eda_phasic_std,eda_phasic_max,eda_phasic_auc,eda_phasic_energy
eda_scl_mean,0.0,0.3944341063711785,0.9999999814297913,0.9999999814433101,0.39443498104668145,0.12346547329784191,0.9999999999999988,0.2988013516142064,0.2988013516142064,0.23960827098627938,0.3936273943800853,0.3934405313193484,0.3934517199091212,0.39361096720469985,0.25805334759454623
eda_scl_std,0.3944341063711785,0.0,0.394257005386531,0.39461112825711187,0.9999999994889814,0.7774653889456808,0.39443410665027817,0.8283964191252421,0.8283964191252421,0.9300939835493206,0.9998329300932478,0.9998889135252775,0.999892072935076,0.9998240743192492,0.961133020236594
eda_scl_min,0.9999999814297913,0.394257005386531,0.0,0.9999999257462234,0.39425788013538066,0.1233126238525163,0.9999999814297361,0.29865232286879506,0.29865232286879506,0.23943301983957163,0.393450260353672,0.39326337087110536,0.3932745599299166,0.3934338336398202,0.25787311644227545
eda_scl_max,0.9999999814433101,0.39461112825711187,0.9999999257462234,0.0,0.3946120028614918,0.12361824439672181,0.9999999814433658,0.2989502991712314,0.2989502991712314,0.2397834360164085,0.393804446410208,0.39361761132912104,0.39362879988118227,0.3937880186949763,0.25823349850432525
eda_scl_range,0.39443498104668145,0.9999999994889814,0.39425788013538066,0.3946120028614918,0.0,0.7774645880263759,0.39443498132576316,0.8283951593484804,0.8283951593484804,0.9300925037666962,0.9998324731722318,0.9998884908557413,0.9998916957457287,0.9998236058727419,0.9611319754577006
eda_scl_slope,0.12346547329784191,0.7774653889456808,0.1233126238525163,0.12361824439672181,0.7774645880263759,0.0,0.12346547368264958,0.8809443320112287,0.8809443320112287,0.946134505505398,0.7784150868720113,0.7782758834362287,0.7783067323578522,0.7784219097592057,0.8278778873400748
eda_scl_auc,0.9999999999999988,0.39443410665027817,0.9999999814297361,0.9999999814433658,0.39443498132576316,0.12346547368264958,0.0,0.2988013519749269,0.2988013519749269,0.23960827136912816,0.39362739468237823,0.3934405316092971,0.3934517201956418,0.39361096750762004,0.2580533479187975
eda_scr_count,0.2988013516142064,0.8283964191252421,0.29865232286879506,0.2989502991712314,0.8283951593484804,0.8809443320112287,0.2988013519749269,0.0,1.0,0.912685811153543,0.8293719566761819,0.8293114151434906,0.8292869755900129,0.8293852953024037,0.7654716521899154
eda_scr_rate,0.2988013516142064,0.8283964191252421,0.29865232286879506,0.2989502991712314,0.8283951593484804,0.8809443320112287,0.2988013519749269,1.0,0.0,0.912685811153543,0.8293719566761819,0.8293114151434906,0.8292869755900129,0.8293852953024037,0.7654716521899154
eda_scr_amp_sum,0.23960827098627938,0.9300939835493206,0.23943301983957163,0.2397834360164085,0.9300925037666962,0.946134505505398,0.23960827136912816,0.912685811153543,0.912685811153543,0.0,0.9310829150156036,0.9310059558010435,0.9309982290749725,0.9310963014322154,0.9459751562038649
eda_phasic_mean,0.3936273943800853,0.9998329300932478,0.393450260353672,0.393804446410208,0.9998324731722318,0.7784150868720113,0.39362739468237823,0.8293719566761819,0.8293719566761819,0.9310829150156036,0.0,0.9999438646221908,0.9999046572748459,0.9999998848742221,0.9616200501268267
eda_phasic_std,0.3934405313193484,0.9998889135252775,0.39326337087110536,0.39361761132912104,0.9998884908557413,0.7782758834362287,0.3934405316092971,0.8293114151434906,0.8293114151434906,0.9310059558010435,0.9999438646221908,0.0,0.9999867593889746,0.9999406907386775,0.9615868156840752
eda_phasic_max,0.3934517199091212,0.999892072935076,0.3932745599299166,0.39362879988118227,0.9998916957457287,0.7783067323578522,0.3934517201956418,0.8292869755900129,0.8292869755900129,0.9309982290749725,0.9999046572748459,0.9999867593889746,0.0,0.9999003596512345,0.9615710597352921
eda_phasic_auc,0.39361096720469985,0.9998240743192492,0.3934338336398202,0.3937880186949763,0.9998236058727419,0.7784219097592057,0.39361096750762004,0.8293852953024037,0.8293852953024037,0.9310963014322154,0.9999998848742221,0.9999406907386775,0.9999003596512345,0.0,0.9616252729334043
eda_phasic_energy,0.25805334759454623,0.961133020236594,0.25787311644227545,0.25823349850432525,0.9611319754577006,0.8278778873400748,0.2580533479187975,0.7654716521899154,0.7654716521899154,0.9459751562038649,0.9616200501268267,0.9615868156840752,0.9615710597352921,0.9616252729334043,0.0
