,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
ppg_green_min,0.02499789911700296,-0.3113675280815289,-0.485100758603314,0.28792720562791313,-0.041784077986580015,-0.23412581712966257,0.1593015252935232,0.20831694696455835,-0.0892351984964484,0.02943140180427526,0.03943875038733236,0.04563910957787299,0.11703409873781062,-0.11257965228574142,-0.2946892528768209,-0.01230669453066812,-0.5720288784625257,0.07627538203096973
ppg_green_median,0.10597293863811601,-0.37281825900233545,-0.41932918993769175,0.24916980067917985,0.025893225904917837,-0.19468378618352083,0.14743679904608295,0.12818585026920482,0.037155867853787196,0.03244322335376075,-0.03635227296095038,0.0036188611393926868,-0.08295388693210785,0.08506942792651336,0.29913980185378736,0.015554460275005084,0.6478834406645714,-0.08801642000849404
ppg_green_iqr,0.3107712507460365,-0.2401373846805323,0.2708222472484896,-0.021521473341737152,-0.021085968042502058,-0.06090744671557707,0.027692290769915168,0.05393076433576941,0.025520071245786907,0.2214834043300019,0.21001987186199847,0.00986711633205297,0.03150148439623217,0.6991444565570131,-0.41932962742623076,-0.0033771673977751565,0.06667650620621966,0.010769657527664855
ppg_green_mad,0.2983244488955842,-0.2631521136825776,0.2429094049409829,-0.043714557336265995,-0.01448522376308001,-0.03293409076067083,0.03117228980463538,0.02175471747725034,-0.002971770771760262,0.24663934329003903,0.28046751714424506,-0.6698150771576035,0.04379902574790667,-0.39157995780151006,0.13783958604330246,0.11534959039973487,-0.048824763265016086,0.0012936208282500802
ppg_green_skew,0.07134975775358195,0.24639956296552215,0.006070082183591284,-0.153644156973515,-0.6008564975833518,-0.10284366449767916,-0.07025305324045772,0.6185551188249565,-0.29142897889655917,-0.1188244127604017,0.11182840673712142,-0.0381154989126932,0.018734826072375,0.08589104783880688,0.16679907975405495,-0.04748058650550845,0.023354366803677015,-0.006581190081571233
ppg_green_kurtosis,0.13089481434066985,0.2877047233386008,-0.3118357941614096,-0.23802485200257706,0.008738565812878588,0.0085952143958508,0.010123235796201396,0.21763891529627336,0.7762230539558577,0.16090243623155434,-0.11494395019131237,-0.19629665825466416,0.04273069408996778,0.093253555617499,-0.010433742876152232,-0.05513333918548008,-0.06455374467530671,0.024115231061420522
ppg_green_diff_mean,0.01777617869151526,0.04854706825352793,-0.037471741431273485,0.04119852337241118,-0.12965175075143817,0.6346596283568648,0.751207665577378,0.028739383644250705,-0.07019311273145051,0.049951726280041575,-0.013425190012723413,-0.028138769577279052,-0.000632752573156597,0.028970472278550492,-0.009304284000811073,-0.011408047795037377,0.005807827720149161,6.079692476663463e-05
ppg_green_diff_std,0.3087140399047725,0.25139216659608,-0.15646145217137303,0.2605279977862393,0.020863032613799366,0.07287392898955902,-0.10631211897609359,-0.1762330383154641,-0.09596669602418849,-0.1464639022792052,0.005307582434925235,-0.175076009929898,-0.10412314886071948,0.1786265325478869,0.08466518612463225,0.04216335687845347,-0.19084333345653065,-0.7426837285905448
ppg_green_diff_mean_abs,0.3461462322250543,-0.10735291347972489,-0.12942476024072208,-0.061883253335381784,-0.10527615950186521,0.15331913753397663,-0.13452870463940408,-0.2111782370998806,-0.019997499544319765,-0.38050352786402564,0.015390804919232299,-0.10971124320795851,-0.012042823257210103,-0.07213235977013781,-0.11108970229512427,-0.7254883360582504,0.07120588431284836,0.21034467744207674
ppg_green_p90_p10,0.316961029647244,-0.2525242956351946,0.2151744097617507,-0.06381929592153501,-0.04454394699514794,-0.006625649355538684,0.0504192671728888,0.05918742538594261,0.1704622699563563,0.08594681868158466,-0.07927144275409959,0.40951374584268163,-0.5266056997197027,-0.030894092602907004,0.4188056076926292,-0.059660860343602504,-0.33081466453832065,0.01507727065368846
ppg_green_shape_factor,0.333776312590786,0.1541347732803769,0.14625649168696853,0.24083593138257625,0.014758049717839308,-0.019042874875688336,-0.019047097809374577,-0.007720032113025694,-0.0342649212487396,0.36022017715813553,-0.17466070984092114,0.30478741393215913,0.6609764460378382,-0.1086081716406613,0.22046339109966623,-0.18088194330320706,0.00976453079317897,0.0015479342208262188
ppg_green_clearance_factor,0.3599932548091557,0.15876508921036983,0.06593011597108418,0.11989744189099148,-0.14068951573740587,-0.002993741557659881,-0.02584170407281115,0.08289975608043529,0.05467466856215226,0.017621729189666837,-0.1462670000108128,0.21704403804524944,-0.24724262178864584,-0.4572964789527213,-0.5653609834137437,0.22929645405329566,0.28667968583920306,-0.051841438868593596
ppg_green_mean_cross_rate,0.04007805535206963,-0.03366829999744288,-0.44132552926053853,-0.41063874727272354,-0.2105383000928919,0.1945254664040937,-0.24457031778057223,-0.30655932603364494,-0.28014206314671153,0.5448822252021095,0.04030173868980774,0.09455998272101865,-0.09167743811931786,-0.007512553822800561,-0.013101923782761898,0.055608759425838046,0.012826973509790705,-0.008731875362850491
ppg_green_tke_std,0.22113924643746033,0.3656594477479958,-0.1198275754636158,0.4028038157896329,0.04953319784069648,0.02106745544764654,-0.08759164411469211,-0.12893993353837374,-0.14267119415431417,0.03312524352490524,-0.05053381916071449,-0.19568461590102,-0.22163551818555066,0.21271911018208725,0.15096828187688863,0.23649974644706026,-0.05209664935337906,0.6127626287078852
ppg_green_tke_p95_abs,0.2887087095554368,-0.2514863342093701,-0.09429747873225093,-0.253322377371126,-0.13006311242104643,0.1592942141603709,-0.08225467814408934,-0.13639454386750552,0.08933275412897762,-0.4809706471698661,-0.0696632048376004,0.09976552634695951,0.3590156822142333,0.056295479536280245,0.10042051922064561,0.5513039375025961,-0.04971818093533921,0.10002210886006735
ppg_green_ddx_mean,-0.021374922212473727,0.14566962172987494,0.05422707315204112,-0.07158501500278759,-0.4502098363068474,-0.5545685548691729,0.41882740014647585,-0.5223547558144762,0.10102729517612362,-0.024094182791956183,0.004051201292715395,-0.013956075976943113,0.010735483793560003,0.013168909811717406,0.02033933541002145,-0.005607983170589917,-0.004468246575834787,0.0006488514314676087
ppg_green_dx_kurtosis,0.20604328789592757,0.2845679480755603,-0.15310277601765004,-0.2243740178518932,0.4085670989502593,-0.14651057929878744,0.2003406886027762,0.03679808521173703,-0.08071668900081304,-0.10665540647930986,0.6841089896294628,0.26488292870111096,0.019846212981770788,-0.09953946190393569,0.05252931681012403,0.014053592616882148,0.04696077315473903,0.0371135161208105
ppg_green_ddx_kurtosis,0.21602885120319593,0.05965609787276999,-0.011808161698869097,-0.4147390352304097,0.39011355461918673,-0.2591182727351057,0.24293503908251196,0.12838192180409602,-0.36228342805673386,-0.026799243784065372,-0.5594220174897243,-0.17446863479284402,-0.032958011404225884,0.059169796652879914,-0.0381364333160693,-0.02665245690061838,-0.02584369732374362,-0.0038544320285357012
