,ppg_green_mean,ppg_green_std,ppg_green_min,ppg_green_max,ppg_green_range,ppg_green_median,ppg_green_iqr,ppg_green_mad,ppg_green_skew,ppg_green_kurtosis,ppg_green_diff_mean,ppg_green_diff_std,ppg_green_diff_mean_abs,ppg_green_diff_rms,ppg_green_signal_rms,ppg_green_signal_energy,ppg_green_p1,ppg_green_p5,ppg_green_p10,ppg_green_p90,ppg_green_p95,ppg_green_p99,ppg_green_p90_p10,ppg_green_p95_p5,ppg_green_p99_p1,ppg_green_trim_mean_10,ppg_green_mean_abs,ppg_green_rms,ppg_green_crest_factor,ppg_green_shape_factor,ppg_green_impulse_factor,ppg_green_clearance_factor,ppg_green_mean_cross_rate,ppg_green_tke_mean,ppg_green_tke_std,ppg_green_tke_mean_abs,ppg_green_tke_p95_abs,ppg_green_dx_mean,ppg_green_dx_std,ppg_green_ddx_mean,ppg_green_ddx_std,ppg_green_dx_kurtosis,ppg_green_ddx_kurtosis
ppg_green_mean,0.0,0.2975900551701058,0.9531495754781362,0.9351148367250292,0.2996812219860014,0.9969884013538817,0.2767388767161965,0.29488746213208,0.19654316450140583,0.004303951102274916,0.015485695815185609,0.12931639956717006,0.38171909698753015,0.13117440272427006,0.9999313254449483,0.9924752669155436,0.9553695873247331,0.9648912174322954,0.9736103337230815,0.9769231475192934,0.970520890671256,0.939338113619294,0.3277256154767885,0.33490175867895944,0.3009937349676061,0.9999000751354956,1.0,0.9999313254449483,0.09707783141486037,0.04967681886307732,0.09372872506611615,0.0926352791027539,0.19566722724375546,0.01426834948107746,0.019696240581427014,0.01426834948107746,0.41379305921361803,0.015485695815185609,0.12931639956717006,0.11930859078808286,0.050305497218971706,0.03696785336476253,0.07041652975140061
ppg_green_std,0.2975900551701058,0.0,0.02891989351381743,0.571283153736485,0.9669548963692945,0.2772202728888526,0.9289516395103872,0.868669859514731,0.07859426922637831,0.14667896715672085,0.01601895201739432,0.5509068442451994,0.7722560645106725,0.5624987074490252,0.3069965908368273,0.29370412293953935,0.034457475449888954,0.0586582389763823,0.08753106732148862,0.47564729449173604,0.4984517942522905,0.566704625356755,0.9603290657340188,0.9652267956512658,0.972758291301229,0.29315850555665873,0.29759005517010567,0.3069965908368273,0.8311200744320634,0.7916097393499041,0.8271595881725903,0.826589994044861,0.07386883482855669,0.33666549975954485,0.3276665703818137,0.33666549975954485,0.7157440971080608,0.01601895201739432,0.5509068442451994,0.06876880356915069,0.41196744925282297,0.2863985018218145,0.4340901226992964
ppg_green_min,0.9531495754781362,0.02891989351381743,0.0,0.8241339027003235,0.03751215254756224,0.9481175498976565,0.027082690464690893,0.05361817120212908,0.13682219339045706,0.0359906596029967,0.018913894657591346,0.014289653531257222,0.17281546238765805,0.012748840766246473,0.9508586290757233,0.9452795346393701,0.9999079363459424,0.9977175390777153,0.9940099610480478,0.881645819289611,0.870233476830333,0.8291633694391299,0.05677081655074858,0.05967482071919087,0.03707355105866483,0.9530806992494897,0.9531495754781362,0.9508586290757233,0.087130606247246,0.13041176516108496,0.08909586258509238,0.09000391389482065,0.2157319000404923,0.06054094039854896,0.06314659677245375,0.06054094039854896,0.19990870767331578,0.018913894657591346,0.014289653531257222,0.07262214716061335,0.020328531807907054,0.10280083175215257,0.05662486143492779
ppg_green_max,0.9351148367250292,0.571283153736485,0.8241339027003235,0.0,0.5969114044434134,0.9193596146055931,0.4887175133339387,0.48425439228674744,0.04564537526907025,0.13487933174763117,0.007188634362728296,0.4098450437828713,0.6130703295100041,0.4141847123615142,0.9388031721176261,0.9271853341078272,0.8279483072552115,0.8423691606454301,0.8570270788312561,0.9670090854213186,0.9732437745820108,0.9998538173647836,0.5454687420641994,0.563202889795997,0.5962690838557108,0.9314025927507569,0.935114836725029,0.9388031721176261,0.44180546553456573,0.36508536501004263,0.43867728282410484,0.4376180910875097,0.16628617285161776,0.2332790098093196,0.22598820969092917,0.2332790098093196,0.5694940861071616,0.007188634362728296,0.4098450437828713,0.09090889696897207,0.30884215137455884,0.13022482556622514,0.2090954737188635
ppg_green_range,0.2996812219860014,0.9669548963692945,0.03751215254756224,0.5969114044434134,0.0,0.2790120728199022,0.8238859685384103,0.7784237287135902,0.11327814491939925,0.2889502201982799,0.039474796491244926,0.7028520430578961,0.8368501489018019,0.7126911468304581,0.30943374806701807,0.2968391568632186,0.044372352778422795,0.07291793426583675,0.10403088109794727,0.4572387110240363,0.48440438993101387,0.5895291768148119,0.8819590249823275,0.9091339863749274,0.9994880332916644,0.2932292384444651,0.2996812219860014,0.30943374806701807,0.9029034646051783,0.8288538734136361,0.9001681972650565,0.8995857235946352,0.012207225483329417,0.49733356560684394,0.48816128871554004,0.49733356560684394,0.7215901689336097,0.039474796491244926,0.7028520430578961,0.057521064795626284,0.5736888545207882,0.3753758560436895,0.44911913469062853
ppg_green_median,0.9969884013538817,0.2772202728888526,0.9481175498976565,0.9193596146055931,0.2790120728199022,0.0,0.2614923235650462,0.28574810346870955,0.2391534983427341,0.004132705598296239,0.02371343492848288,0.10793410548573568,0.36716393482371823,0.10955128305301857,0.9965937889631943,0.9899908392837452,0.9504240140320318,0.9607041288631774,0.9702084527298812,0.9673867134477722,0.959607466653691,0.9238688773008706,0.3118837683616776,0.31903865907491924,0.28028756606478994,0.997364482913195,0.9969884013538818,0.9965937889631943,0.05967539261051098,0.020371642354580145,0.05654086623597616,0.055538836974499566,0.19678803644837112,0.034942646939428335,0.04033039606721333,0.034942646939428335,0.40644021770541877,0.02371343492848288,0.10793410548573568,0.12854746742492873,0.029584016248308396,0.04965314921531087,0.06165827964316342
ppg_green_iqr,0.2767388767161965,0.9289516395103872,0.027082690464690893,0.4887175133339387,0.8238859685384103,0.2614923235650462,0.0,0.9462235800499568,0.010594707313448156,0.07597551665838376,0.033923334576124974,0.3256875149204163,0.653400788220204,0.33714771933742127,0.2846058601137495,0.2703125969569625,0.030530730383850496,0.04836095739770241,0.07225732531347386,0.45514247293328014,0.4694310318091245,0.4875742155228876,0.9427565795268323,0.9215244315244856,0.8356380545705102,0.2753027078968155,0.2767388767161965,0.2846058601137495,0.6464095934341292,0.6545198816527978,0.6415364864206404,0.6410959082159359,0.10784849185578936,0.10973487392093581,0.10118586316504223,0.10973487392093581,0.660290850624347,0.033923334576124974,0.3256875149204163,0.07534448620610072,0.18663362085963273,0.15813166488702382,0.3864947293407916
ppg_green_mad,0.29488746213208,0.868669859514731,0.05361817120212908,0.48425439228674744,0.7784237287135902,0.28574810346870955,0.9462235800499568,0.0,0.02242751897003471,0.08644982716638712,0.015846394563206283,0.29859861770679946,0.6547126928426449,0.3088896649199422,0.3019115311748351,0.2884819247442305,0.05695953693801737,0.07523655832385087,0.0993450025587987,0.4583513220927774,0.47145608963049185,0.4833738961153033,0.8943378765288231,0.8770841475926728,0.7894708542431473,0.2939459792859965,0.29488746213208,0.3019115311748351,0.5881315162503933,0.5863125158547985,0.5828475415746092,0.5822053630272448,0.05883716699867721,0.07675462575202642,0.06783338152889283,0.07675462575202642,0.6593985574720407,0.015846394563206283,0.29859861770679946,0.09273528564960258,0.158988561720119,0.13049962611499483,0.37926392568036066
ppg_green_skew,0.19654316450140583,0.07859426922637831,0.13682219339045706,0.04564537526907025,0.11327814491939925,0.2391534983427341,0.010594707313448156,0.02242751897003471,0.0,0.2664105937755668,0.028893615466281664,0.2044182578686868,0.0944612466928368,0.2042193126433277,0.1942848061367582,0.1965060665511518,0.13928410525917115,0.15774092875495946,0.1714190751310362,0.14817091028163043,0.11758012996161514,0.05166544300845784,0.00049946815406536,0.033578922088302765,0.1100752566682001,0.20358471636878836,0.1965431645014059,0.1942848061367582,0.38642594243004685,0.1935720675271103,0.3804400627484482,0.37771806094298926,0.11248433352750795,0.21948470811263085,0.21985872284770905,0.21948470811263085,0.03221359951299822,0.028893615466281664,0.2044182578686868,0.2365879219924036,0.2011452756206959,0.10250913558804024,0.05935570265785211
ppg_green_kurtosis,0.004303951102274916,0.14667896715672085,0.0359906596029967,0.13487933174763117,0.2889502201982799,0.004132705598296239,0.07597551665838376,0.08644982716638712,0.2664105937755668,0.0,0.057406054216242466,0.42060656087266984,0.24362545809827546,0.42099115687465677,0.007087423679559181,0.015726909477307142,0.03255923602194218,0.013181591237043027,0.00457378084278761,0.002490359529514226,0.03197185303378851,0.12692899924087478,0.015453561216777136,0.09267492112374724,0.2766776469464208,0.0019881916623859935,0.004303951102274924,0.007087423679559181,0.3938794588029985,0.2491447427972329,0.3921522173642283,0.39076683512659144,0.27995939149732973,0.3751907938197601,0.3744931270772213,0.3751907938197601,0.15915912885396122,0.057406054216242466,0.42060656087266984,0.05329008626107586,0.4085948617936013,0.5321799625699903,0.26010565737187685
ppg_green_diff_mean,0.015485695815185609,0.01601895201739432,0.018913894657591346,0.007188634362728296,0.039474796491244926,0.02371343492848288,0.033923334576124974,0.015846394563206283,0.028893615466281664,0.057406054216242466,0.0,0.06597873441726802,0.04450586792139794,0.06657291249202107,0.01517666993802634,0.017920805336616233,0.019696621135669126,0.022101156310077866,0.015932724106335804,0.007924708731512698,0.008306965399526033,0.005205647626715255,0.013988359661868838,0.02226520188806612,0.0381535316086309,0.015704233719390667,0.015485695815185609,0.01517666993802634,0.0670571863862815,0.04120163995523926,0.06659395638372438,0.06630924511906734,0.01425285872433007,0.0583173284176314,0.057570284191497914,0.0583173284176314,0.04396193434060697,1.0,0.06597873441726802,0.008745314791414835,0.06509986452864697,0.04366728880015266,0.03227775221145919
ppg_green_diff_std,0.12931639956717006,0.5509068442451994,0.014289653531257222,0.4098450437828713,0.7028520430578961,0.10793410548573568,0.3256875149204163,0.29859861770679946,0.2044182578686868,0.42060656087266984,0.06597873441726802,0.0,0.7022212845428889,0.9997969977208649,0.13839426175071823,0.13064399130779386,0.020171713854277167,0.035467380165064316,0.049304735397409635,0.17763254354976785,0.1981058847699943,0.3963057080813453,0.3242139492737181,0.3615555070848878,0.6859957951650596,0.11750016051564172,0.12931639956717003,0.13839426175071823,0.8261613272689371,0.7933179726374059,0.8344469694166482,0.8364457311765152,0.10605321809806496,0.9352318938800287,0.9299329163921507,0.9352318938800287,0.3849399336340838,0.06597873441726805,1.0,0.015206974671529169,0.9772228787466468,0.5725899024495437,0.3091894454584968
ppg_green_diff_mean_abs,0.38171909698753015,0.7722560645106725,0.17281546238765805,0.6130703295100041,0.8368501489018019,0.36716393482371823,0.653400788220204,0.6547126928426449,0.0944612466928368,0.24362545809827546,0.04450586792139794,0.7022212845428889,0.0,0.7052579243322786,0.388492996040445,0.37314034086719455,0.17880486679545615,0.20437872297979973,0.23101693740571322,0.49517987033982946,0.5184086956739892,0.6058859290745693,0.7099355191098166,0.7435713947062343,0.8327535053037345,0.37612259671044224,0.3817190969875301,0.388492996040445,0.739354117664159,0.58686585722894,0.7338322068494384,0.7318073862699308,0.30678813356038004,0.4134244539306916,0.39985344217996355,0.4134244539306916,0.901894289436539,0.04450586792139794,0.7022212845428888,0.11313765285499758,0.5457307128633979,0.3394588946963761,0.37103530351626296
ppg_green_diff_rms,0.13117440272427006,0.5624987074490252,0.012748840766246473,0.4141847123615142,0.7126911468304581,0.10955128305301857,0.33714771933742127,0.3088896649199422,0.2042193126433277,0.42099115687465677,0.06657291249202107,0.9997969977208649,0.7052579243322786,0.0,0.1403554111133503,0.1326943310329342,0.018687386832382667,0.034241312402982726,0.048454960330907945,0.18207341565230212,0.20277208441351302,0.4006673046430747,0.336633781850784,0.373814339132895,0.6960367510598967,0.11937610961110115,0.13117440272427006,0.1403554111133503,0.8337759444440394,0.8022055439504209,0.8420002888387211,0.8440053651637884,0.10186592511512292,0.93391030709584,0.9285759886356179,0.93391030709584,0.38920780556606716,0.0665729124920211,0.9997969977208649,0.01470286294830288,0.9760094345128982,0.572143166267605,0.3122090809960507
