,acc_x_dyn__harmonic_mean_of_abs,acc_x_dyn__quantile_0.4,acc_z_dyn__approximate_entropy_0.1,acc_z_dyn__quantile_0.4,acc_x_dyn__sample_entropy,acc_y_dyn__harmonic_mean_of_abs,acc_y_dyn__sample_entropy,acc_z_dyn__sum_of_absolute_changes,acc_y_dyn__avg_amplitude_change,acc_z_dyn__quantile_0.6,acc_z_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.6,acc_z_dyn__sample_entropy,acc_y_dyn__variance_of_absolute_differences,acc_x_dyn__max,acc_y_dyn__quantile_0.4,acc_y_dyn__tsallis_entropy,acc_y_dyn__katz_fractal_dimension,acc_x_dyn__cardinality,acc_x_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.3,acc_x_dyn__quantile_0.9,acc_z_dyn__harmonic_mean_of_abs,acc_x_dyn__approximate_entropy_0.1,acc_y_dyn__quantile_0.3,acc_z_dyn__lower_complete_moment,acc_x_dyn__harmonic_mean,acc_x_dyn__katz_fractal_dimension,acc_z_dyn__katz_fractal_dimension,acc_x_dyn__approximate_entropy_0.9
acc_z_dyn__sample_entropy,0.3208787052951799,0.2543763319517361,0.49456648154888677,0.1869000003763165,0.7696659810340515,0.24981751351504375,0.7432746988065018,0.3624599427119215,0.37639992851945786,0.20044877660709692,0.13988793821140738,0.27406836248344846,0.0,0.23523274978646305,0.3436982371935772,0.21325958479927126,0.2072021456543187,0.7258592310485436,0.7390478573535159,0.21028852785345606,0.33448354599918045,0.3469834886746025,0.22667760896821307,0.46496036492034937,0.2917814805590472,0.10540339060169202,0.022492033319239123,0.744605534879108,0.8350091590099912,0.7738320064338595
acc_y_dyn__variance_of_absolute_differences,0.550064656990099,0.3747759455401121,0.14056250488159447,0.31922448641377277,0.2384086635962285,0.604041535691727,0.14060821604134618,0.7739023191652276,0.8853580696162222,0.47557891836465804,0.6461724163591561,0.4615709895971189,0.23523274978646305,0.0,0.5769234278488456,0.3712113115079514,0.03204683264862163,0.3376371043886833,0.286442818668773,0.6329779967594378,0.5221346010550039,0.5656066783359339,0.5022051582472122,0.12441117673408965,0.6105509231186844,0.5538625145922745,0.006742059047735712,0.39238488312555114,0.3765440505878051,0.33597983583545826
acc_x_dyn__max,0.7720767723650733,0.6102803608494255,0.3654904762482532,0.4856281611252948,0.3158063810065391,0.6344551763084618,0.27771763090560087,0.7767042201620629,0.7185912054265579,0.5248892031334353,0.4988786182812814,0.5905207666711219,0.3436982371935772,0.5769234278488456,0.0,0.45007782625714954,0.04835199512880937,0.32948179262767363,0.5210952854384896,0.689850218764485,0.7985706354477874,0.9387382736316485,0.6413323887324465,0.36798042549390425,0.6597729585588543,0.4832549143633393,0.009387515940544511,0.3969761638640436,0.42568344474822145,0.4235942162181203
acc_y_dyn__quantile_0.4,0.4107775628468548,0.31759721404920654,0.1970350653391057,0.38178229168568273,0.22543258639356756,0.43847300413793233,0.15320046657789604,0.44908210972314255,0.47878079640995347,0.20525920519170932,0.27013418517136834,0.3732848185105784,0.21325958479927126,0.3712113115079514,0.45007782625714954,0.0,0.10788706616735937,0.2172221426826355,0.29341238453669966,0.32872272745360026,0.4331223635570791,0.4608164958794877,0.3496175374075952,0.16921404181912075,0.8203162488579385,0.1954012327079145,0.007734890398425023,0.28647049500099914,0.2661298735003164,0.26664517993806414
acc_y_dyn__tsallis_entropy,0.093907941737126,0.0746422156365668,0.05745058787453382,0.0584917174470035,0.19487829543129673,0.06777033939331614,0.2820068493934385,0.10670763114393557,0.10785794727081366,0.0778414392210064,0.041990995325739716,0.08721378880231359,0.2072021456543187,0.03204683264862163,0.04835199512880937,0.10788706616735937,0.0,0.23898247482297647,0.07190177393386009,0.04419884026960395,0.0986243465934268,0.07736529091007167,0.07026023246513755,0.040435003790406446,0.12470533466176735,0.03445433630174294,0.005263409000265785,0.1727073285202162,0.16728396598619452,0.1424461971707434
acc_y_dyn__katz_fractal_dimension,0.31951461665677283,0.2683860412903097,0.40317343872838257,0.21606783352853923,0.6907397079470452,0.22929218207484084,0.8142479420170543,0.42855822668001686,0.4808031240378603,0.21925547749770244,0.2347493198132036,0.25573116404764973,0.7258592310485436,0.3376371043886833,0.32948179262767363,0.2172221426826355,0.23898247482297647,0.0,0.7018332710634896,0.2664540400034821,0.33987812049462207,0.3303396072471063,0.2614742022008453,0.40408448468299796,0.2840563413043329,0.13201196134715032,0.006134619875957814,0.7666228954666907,0.7849491974817447,0.7442694984410202
acc_x_dyn__cardinality,0.45474794371160043,0.3532056452472419,0.7258360696519358,0.3197897169451314,0.7526928844447853,0.40826070656448377,0.7209079732091646,0.4675289261748786,0.45213252037686585,0.32221872815814706,0.23169855424969663,0.36353859348452877,0.7390478573535159,0.286442818668773,0.5210952854384896,0.29341238453669966,0.07190177393386009,0.7018332710634896,0.0,0.26563215556705067,0.4698960667715588,0.5226716085811621,0.42778714878169505,0.7089204635234351,0.4251696037394695,0.23352581096713948,0.01691362199227884,0.7434806444206102,0.7364109689090961,0.8113389999628244
acc_x_dyn__variance_of_absolute_differences,0.5889944111086168,0.37198075062730346,0.16030408388547926,0.3109750080701123,0.17447612064009205,0.42505385114175454,0.17602671080643056,0.69280871039074,0.6159451668673837,0.38904035451873675,0.6845033136133251,0.46743704037023215,0.21028852785345606,0.6329779967594378,0.689850218764485,0.32872272745360026,0.04419884026960395,0.2664540400034821,0.26563215556705067,0.0,0.5303323298570255,0.6250241647896569,0.4343517236614066,0.13734639506198762,0.4537121254780414,0.44262377618243237,0.006253690455110858,0.3224981788247254,0.31882684229211994,0.31093771920130897
acc_x_dyn__quantile_0.3,0.7940371648828148,0.8738736414808359,0.3151230148184778,0.4030615953869855,0.30353961958604897,0.5800717209470954,0.274133033468191,0.7158150852843252,0.6849806298100006,0.5474358216416669,0.4053658457400352,0.4288368094572397,0.33448354599918045,0.5221346010550039,0.7985706354477874,0.4331223635570791,0.0986243465934268,0.33987812049462207,0.4698960667715588,0.5303323298570255,0.0,0.814760276046483,0.6033149646984569,0.29834833693905416,0.6202344622278996,0.4275606443593024,0.01510732249825448,0.40844482466548876,0.41164457189583115,0.37114943128333333
acc_x_dyn__quantile_0.9,0.8181859176160047,0.6094171469837124,0.362527746923922,0.5033896623864392,0.3163862516478681,0.6495704060956565,0.27783975071373274,0.775564825957522,0.7216619550037422,0.5400443471216178,0.4821748699051677,0.6650683160934391,0.3469834886746025,0.5656066783359339,0.9387382736316485,0.4608164958794877,0.07736529091007167,0.3303396072471063,0.5226716085811621,0.6250241647896569,0.814760276046483,0.0,0.6608925817360384,0.3537077947735308,0.678592517014784,0.4998469563511479,0.008918316607705784,0.41235616086533783,0.4304670468330492,0.4136520955183366
acc_z_dyn__harmonic_mean_of_abs,0.6085383259525425,0.41945822315861564,0.3201376455596033,0.5204710916204704,0.2957213989545113,0.5889217707981788,0.22216903351158807,0.7088820157393525,0.6229066703448328,0.6539156865475891,0.4741662237270395,0.5266075679834764,0.22667760896821307,0.5022051582472122,0.6413323887324465,0.3496175374075952,0.07026023246513755,0.2614742022008453,0.42778714878169505,0.4343517236614066,0.6033149646984569,0.6608925817360384,0.0,0.28900010280040966,0.5894471945781565,0.6106205692535254,0.007779940701320079,0.3533641823430572,0.31113107073006613,0.3654105767354907
acc_x_dyn__approximate_entropy_0.1,0.31327908551208494,0.22162382659647822,0.6164290291975068,0.2053681655198185,0.4685146063933918,0.2611923843643452,0.46783215424408103,0.24523673440500834,0.2295840958614578,0.2007641364086568,0.10753516188952356,0.22877100464167294,0.46496036492034937,0.12441117673408965,0.36798042549390425,0.16921404181912075,0.040435003790406446,0.40408448468299796,0.7089204635234351,0.13734639506198762,0.29834833693905416,0.3537077947735308,0.28900010280040966,0.0,0.26469326479307226,0.14889868920124877,0.009114451553670886,0.3821270464070263,0.420872752432519,0.43216275044206853
acc_y_dyn__quantile_0.3,0.6075668260957929,0.44767829898936573,0.2830874096966681,0.45132634371447106,0.3076977465066248,0.7437626122947837,0.18985881404295588,0.7064646051811247,0.7432821648305634,0.4800281347523163,0.4361941730644849,0.5253097052291397,0.2917814805590472,0.6105509231186844,0.6597729585588543,0.8203162488579385,0.12470533466176735,0.2840563413043329,0.4251696037394695,0.4537121254780414,0.6202344622278996,0.678592517014784,0.5894471945781565,0.26469326479307226,0.0,0.5030855063902792,0.0008528688610538812,0.3921788768203781,0.36948374752702234,0.374224768273172
acc_z_dyn__lower_complete_moment,0.48196627356771127,0.2674441837476189,0.1907517973947167,0.14306977124733206,0.16777747169933743,0.5731026841978542,0.10054833881286947,0.656405950963834,0.5233697833650334,0.7003146840403477,0.6497754787632575,0.42770129115970856,0.10540339060169202,0.5538625145922745,0.4832549143633393,0.1954012327079145,0.03445433630174294,0.13201196134715032,0.23352581096713948,0.44262377618243237,0.4275606443593024,0.4998469563511479,0.6106205692535254,0.14889868920124877,0.5030855063902792,0.0,0.0054989288706678505,0.20127552828920695,0.15246991995583326,0.21976414612955741
acc_x_dyn__harmonic_mean,0.0029173725233738257,0.01624248538317678,0.01664231892300389,0.009268341921291303,0.02891925151950788,0.0015359479792564227,0.003859554013372267,0.009958365491121965,0.009265110955495407,0.004187127882729337,0.005475787643201969,0.00024257259054281103,0.022492033319239123,0.006742059047735712,0.009387515940544511,0.007734890398425023,0.005263409000265785,0.006134619875957814,0.01691362199227884,0.006253690455110858,0.01510732249825448,0.008918316607705784,0.007779940701320079,0.009114451553670886,0.0008528688610538812,0.0054989288706678505,0.0,0.01658667329709482,0.0006512645620160218,0.03049583209737425
acc_x_dyn__katz_fractal_dimension,0.3786506112858173,0.3140601977283402,0.4477290938610469,0.2802873668897079,0.8250213078401407,0.3437101164772075,0.6937759570127284,0.5261565401355882,0.544301491109754,0.2913870500771389,0.28137752855658066,0.3245687636202677,0.744605534879108,0.39238488312555114,0.3969761638640436,0.28647049500099914,0.1727073285202162,0.7666228954666907,0.7434806444206102,0.3224981788247254,0.40844482466548876,0.41235616086533783,0.3533641823430572,0.3821270464070263,0.3921788768203781,0.20127552828920695,0.01658667329709482,0.0,0.8064673334411259,0.8929777095084462
acc_z_dyn__katz_fractal_dimension,0.39794299789659116,0.31755840317241,0.41286016244188894,0.2658693081772523,0.7188046455818572,0.32793202485461387,0.6904598417471296,0.5185476931552756,0.5310496457966818,0.2513277167671617,0.26760701881954335,0.33001176852783354,0.8350091590099912,0.3765440505878051,0.42568344474822145,0.2661298735003164,0.16728396598619452,0.7849491974817447,0.7364109689090961,0.31882684229211994,0.41164457189583115,0.4304670468330492,0.31113107073006613,0.420872752432519,0.36948374752702234,0.15246991995583326,0.0006512645620160218,0.8064673334411259,0.0,0.7831917710964724
acc_x_dyn__approximate_entropy_0.9,0.35344868850171307,0.27568657574471117,0.5321910139551224,0.27172548889970016,0.8728758994572318,0.3459955366734396,0.7378992600380676,0.48812272729550654,0.4743762470357104,0.2911851497090787,0.2757766086797593,0.2955491045724463,0.7738320064338595,0.33597983583545826,0.4235942162181203,0.26664517993806414,0.1424461971707434,0.7442694984410202,0.8113389999628244,0.31093771920130897,0.37114943128333333,0.4136520955183366,0.3654105767354907,0.43216275044206853,0.374224768273172,0.21976414612955741,0.03049583209737425,0.8929777095084462,0.7831917710964724,0.0
