PC,feature,abs_loading
PC1,acc_z_dyn__sum_of_absolute_changes,0.2818296165860187
PC1,acc_y_dyn__avg_amplitude_change,0.2719874618862556
PC1,acc_x_dyn__quantile_0.9,0.2629866340573576
PC1,acc_x_dyn__max,0.25789429862338636
PC1,acc_x_dyn__quantile_0.3,0.23639524644887971
PC1,acc_x_dyn__harmonic_mean_of_abs,0.2317718219778566
PC1,acc_y_dyn__quantile_0.3,0.22600177655378986
PC1,acc_y_dyn__variance_of_absolute_differences,0.22048597526930455
PC2,acc_y_dyn__sample_entropy,0.3504501049473437
PC2,acc_x_dyn__sample_entropy,0.3436174420762195
PC2,acc_z_dyn__sample_entropy,0.3331749012606114
PC2,acc_x_dyn__approximate_entropy_0.9,0.32811817614010813
PC2,acc_y_dyn__katz_fractal_dimension,0.31316139424378436
PC2,acc_x_dyn__katz_fractal_dimension,0.30762861787142715
PC2,acc_z_dyn__katz_fractal_dimension,0.2989100663966296
PC2,acc_x_dyn__cardinality,0.25312018502430417
PC3,acc_x_dyn__approximate_entropy_0.1,0.4449040108421629
PC3,acc_z_dyn__approximate_entropy_0.1,0.3922723844370767
PC3,acc_z_dyn__variance_of_absolute_differences,0.3166095514051527
PC3,acc_x_dyn__cardinality,0.2881412068149304
PC3,acc_y_dyn__quantile_0.4,0.22740916399501712
PC3,acc_x_dyn__variance_of_absolute_differences,0.2267571287974597
PC3,acc_y_dyn__variance_of_absolute_differences,0.22193550745411333
PC3,acc_z_dyn__lower_complete_moment,0.21688794352627075
PC4,acc_y_dyn__quantile_0.4,0.36275357972942845
PC4,acc_y_dyn__quantile_0.3,0.3281023817064103
PC4,acc_z_dyn__approximate_entropy_0.1,0.3224875800044398
PC4,acc_z_dyn__quantile_0.6,0.29797475810900753
PC4,acc_x_dyn__approximate_entropy_0.1,0.29383655312091295
PC4,acc_z_dyn__lower_complete_moment,0.27301083281886424
PC4,acc_y_dyn__harmonic_mean_of_abs,0.23831815830395045
PC4,acc_x_dyn__quantile_0.4,0.22255410364986927
PC5,acc_x_dyn__quantile_0.4,0.5685308779927056
PC5,acc_x_dyn__quantile_0.3,0.4006930558231093
PC5,acc_x_dyn__quantile_0.6,0.32484693568878525
PC5,acc_z_dyn__quantile_0.4,0.27701877402129504
PC5,acc_z_dyn__approximate_entropy_0.1,0.23220994902900655
PC5,acc_z_dyn__variance_of_absolute_differences,0.2209426148832098
PC5,acc_z_dyn__lower_complete_moment,0.18532627810094404
PC5,acc_x_dyn__approximate_entropy_0.1,0.17455532756361747
PC6,acc_z_dyn__quantile_0.6,0.44990400019622473
PC6,acc_z_dyn__quantile_0.4,0.3426909942862245
PC6,acc_z_dyn__lower_complete_moment,0.2878011048498629
PC6,acc_y_dyn__quantile_0.4,0.27795164065460537
PC6,acc_y_dyn__tsallis_entropy,0.263470268467449
PC6,acc_y_dyn__quantile_0.3,0.257804992133813
PC6,acc_x_dyn__variance_of_absolute_differences,0.25240113694215466
PC6,acc_x_dyn__max,0.23053052193868168
PC7,acc_y_dyn__tsallis_entropy,0.6352259509054494
PC7,acc_z_dyn__quantile_0.4,0.3310003812279822
PC7,acc_z_dyn__harmonic_mean_of_abs,0.32783627098566315
PC7,acc_y_dyn__variance_of_absolute_differences,0.26975851301104925
PC7,acc_y_dyn__sample_entropy,0.22373650915526172
PC7,acc_x_dyn__quantile_0.6,0.1959686074896742
PC7,acc_x_dyn__cardinality,0.1809697044931332
PC7,acc_y_dyn__harmonic_mean_of_abs,0.17526757104895174
PC8,acc_x_dyn__harmonic_mean,0.9903151582726745
PC8,acc_y_dyn__tsallis_entropy,0.09837927580950036
PC8,acc_z_dyn__approximate_entropy_0.1,0.04788940009988422
PC8,acc_x_dyn__cardinality,0.038639252839926135
PC8,acc_x_dyn__approximate_entropy_0.1,0.03623778565956838
PC8,acc_x_dyn__quantile_0.6,0.026810326326404777
PC8,acc_x_dyn__variance_of_absolute_differences,0.023893446443657367
PC8,acc_z_dyn__variance_of_absolute_differences,0.02325693084451022
