PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.33348589583674015,0.33348589583674015
PC2,0.15233978796616596,0.48582568380290614
PC3,0.06401430183110805,0.5498399856340142
PC4,0.05867142842907864,0.6085114140630928
PC5,0.051089027269932086,0.659600441333025
PC6,0.03963461034626088,0.6992350516792859
PC7,0.03526244595024388,0.7344974976295298
PC8,0.03334552528433087,0.7678430229138606
PC9,0.03112064414880812,0.7989636670626687
PC10,0.027015376336169367,0.8259790433988381
PC11,0.020829271241484894,0.846808314640323
PC12,0.018368912105699117,0.8651772267460222
PC13,0.017039348619981784,0.882216575366004
PC14,0.01404406984912625,0.8962606452151302
PC15,0.013651383128135937,0.9099120283432661
PC16,0.01287076232102673,0.9227827906642928
PC17,0.011547801687479153,0.934330592351772
PC18,0.008569804836699722,0.9429003971884716
PC19,0.008522783167784721,0.9514231803562564
PC20,0.007283278152230456,0.9587064585084869
PC21,0.0070042997904499514,0.9657107582989368
PC22,0.006520993164909039,0.9722317514638459
PC23,0.006068595961167408,0.9783003474250133
PC24,0.0055098930401916435,0.9838102404652049
PC25,0.004535902783727688,0.9883461432489327
PC26,0.003784310113869036,0.9921304533628017
PC27,0.0025254429932838837,0.9946558963560855
PC28,0.0021393560764432665,0.9967952524325288
PC29,0.002063514602525236,0.9988587670350539
PC30,0.0011412329649461174,1.0
