,ppg_infra_mean,ppg_infra_std,ppg_infra_min,ppg_infra_max,ppg_infra_range,ppg_infra_median,ppg_infra_iqr,ppg_infra_mad,ppg_infra_skew,ppg_infra_kurtosis,ppg_infra_diff_mean,ppg_infra_diff_std,ppg_infra_diff_mean_abs,ppg_infra_diff_rms,ppg_infra_signal_rms,ppg_infra_signal_energy,ppg_infra_zcr,ppg_infra_p1,ppg_infra_p5,ppg_infra_p10,ppg_infra_p90,ppg_infra_p95,ppg_infra_p99,ppg_infra_p90_p10,ppg_infra_p95_p5,ppg_infra_p99_p1,ppg_infra_trim_mean_10,ppg_infra_mean_abs,ppg_infra_rms,ppg_infra_crest_factor,ppg_infra_shape_factor,ppg_infra_impulse_factor,ppg_infra_clearance_factor,ppg_infra_mean_cross_rate,ppg_infra_tke_mean,ppg_infra_tke_std,ppg_infra_tke_mean_abs,ppg_infra_tke_p95_abs,ppg_infra_dx_mean,ppg_infra_dx_std,ppg_infra_ddx_mean,ppg_infra_ddx_std,ppg_infra_dx_kurtosis,ppg_infra_ddx_kurtosis
ppg_infra_mean,0.0,0.05775954649665052,0.12416362018281289,0.10421903656377766,0.11691955430084267,0.3521813681302558,0.1312061288820715,0.17493782043307177,0.09302042340254912,0.0556186533871899,0.015774678360818854,0.15466373677759446,0.061435709076079745,0.15430820037508428,0.054431106279100014,0.18262657416412584,0.046239577498946006,0.12179308042679458,0.01699717935024347,0.20049526302288317,0.0900798636503349,0.09266393403510009,0.11736380608317215,0.0398084876393578,0.030312101493716048,0.12192475338875826,0.6659691099437702,0.002375792231866223,0.054431106279100014,0.01797799844698062,0.0041788125293842435,0.028363532305449923,0.04085221253950304,0.0543952447000267,0.23772320712571798,0.24297529599331583,0.23772320712571798,0.09074325474634096,0.015774678360818854,0.15466373677759446,0.10826902449450043,0.21052354042116367,0.10889185509713255,0.054697353655080404
ppg_infra_std,0.05775954649665052,0.0,0.9575176273071258,0.9461832935816082,0.9837652300918449,0.11299375961993194,0.6848035874060461,0.5876705605527826,0.032975204474340124,0.25349615220862587,0.6338524326581061,0.9527718473240304,0.8966788935331501,0.9538647108363879,0.9999892983603996,0.9083285615858399,0.041592810925578164,0.9603159625771588,0.9902972257836745,0.9055792137029515,0.9867124915606047,0.9842375759181892,0.9781136920537682,0.9708739773085168,0.9966518479093343,0.987071612342221,0.6037739789555386,0.9767302388532682,0.9999892983603996,0.2691492009746747,0.2599544762270805,0.29645768641041476,0.33796677727490204,0.04401927279937602,0.7966299519318945,0.7649724270787268,0.7966299519318945,0.9491725923446066,0.6338524326581061,0.9527718473240304,0.5746769983601198,0.7976248013550328,0.391768606648716,0.25911653607999685
ppg_infra_min,0.12416362018281289,0.9575176273071258,0.0,0.8680567562418422,0.9581910638761781,0.0402098236726059,0.5374175329417477,0.41813425139375426,0.054610352626848664,0.273357725379042,0.4617820148783243,0.9795342621646856,0.8563721243743996,0.9796857342071481,0.9574520837479586,0.9342044899134774,0.041587213153043597,0.9988758243830085,0.9299868425379866,0.7752679723870519,0.9304188626022974,0.9349695231736,0.9206756854134217,0.8798107044962832,0.9405740579820858,0.9795298673131497,0.7452885446456176,0.8982462062205653,0.9574520837479586,0.26644682641415435,0.28536412072262973,0.30472163616246584,0.3567803153200952,0.04864078545884464,0.9175227723712545,0.8993525120623816,0.9175227723712545,0.9313472045465611,0.4617820148783243,0.9795342621646856,0.39254700235547935,0.9126275332731565,0.43479417973573337,0.26984454313774564
ppg_infra_max,0.10421903656377766,0.9461832935816082,0.8680567562418422,0.0,0.9738173224126702,0.13517315126338547,0.5489615175552276,0.46344434759187175,0.10121364388738709,0.29093755310335984,0.8152109309562291,0.8567506565608495,0.7617480499005784,0.8589584486343266,0.9457268571923366,0.9216670463071462,0.05759694332684368,0.876613730832511,0.9536969440417343,0.8359368261647402,0.9121978637811812,0.9013360186471773,0.9894397569991685,0.8969862834550819,0.9396797217263898,0.9481484152741089,0.5447824593811538,0.8951958632365434,0.9457268571923366,0.2990389644775725,0.2676916811895469,0.32710882853581386,0.3624180741324077,0.057675959622881405,0.7210240058309295,0.681240314812242,0.7210240058309295,0.8387052666946415,0.8152109309562291,0.8567506565608495,0.7568523416189699,0.6475905204914028,0.3669286185059375,0.21329228262156572
ppg_infra_range,0.11691955430084267,0.9837652300918449,0.9581910638761781,0.9738173224126702,0.0,0.09631687752207875,0.5624688293495665,0.4585624912137856,0.03332660930785774,0.2928477725447151,0.6812835458779105,0.9423036973008202,0.831154455696627,0.9436454799521551,0.9834721582614233,0.9589605916632109,0.05223785824283688,0.9626079691142684,0.9754892120404075,0.8367741966021119,0.9517697456602924,0.947593459476352,0.9918253831079875,0.9198292677376512,0.9722585243381696,0.9949772282942467,0.6552447108193884,0.927239030068942,0.9834721582614233,0.29435237341603726,0.28494815399021495,0.32805604793876747,0.3722436688478701,0.05551323800722653,0.8356848080920547,0.8044359683902442,0.8356848080920547,0.9098386265658687,0.6812835458779105,0.9423036973008202,0.6159467620997747,0.7911211316036216,0.4105658958246128,0.24648955099765077
ppg_infra_median,0.3521813681302558,0.11299375961993194,0.0402098236726059,0.13517315126338547,0.09631687752207875,0.0,0.19180597206744499,0.20472530428645103,0.33306086099164756,0.012705589092695032,0.16933900076059524,0.06622547498166594,0.09835360346203231,0.06688776217763968,0.11318931026943359,0.06359765967734288,0.034088735446900366,0.03802125754637789,0.09783261106064758,0.14697404958399038,0.14204623555954382,0.14087724986004374,0.12865917704374888,0.14729922574379206,0.11735001270192592,0.08294962927711978,0.24594298412758792,0.14367146479630236,0.11318931026943359,0.022849981374106706,0.016192003568722746,0.025265141393657264,0.029627446207252398,0.03672035402557028,2.4132981937428926e-05,0.011449086333260798,2.4132981937428926e-05,0.0847949489681263,0.16933900076059524,0.06622547498166594,0.18815266131404185,0.014053158615762463,0.023558235218101173,0.0174244533368245
ppg_infra_iqr,0.1312061288820715,0.6848035874060461,0.5374175329417477,0.5489615175552276,0.5624688293495665,0.19180597206744499,0.0,0.9866187106585326,0.08334430364053083,0.024924495713678402,0.3642545583441123,0.6081262151714084,0.82915622721791,0.6086970690295636,0.6849734709448666,0.35975474541818925,0.04432419142581764,0.5303543702766702,0.6703227634867094,0.8517068962351804,0.7514351170091721,0.7449277835317701,0.5934921532463054,0.8128817228863389,0.70868988454199,0.571134441083584,0.10649669497890332,0.8233787174693731,0.6849734709448666,0.12067120400554512,0.005016716765909636,0.07248723565436309,0.05843012291667938,0.05828268249869462,0.2583856108607878,0.22553957367390057,0.2583856108607878,0.7376162493663094,0.3642545583441123,0.6081262151714084,0.36650490586568374,0.4337446270113121,0.161243190681459,0.1962090104263434
ppg_infra_mad,0.17493782043307177,0.5876705605527826,0.41813425139375426,0.46344434759187175,0.4585624912137856,0.20472530428645103,0.9866187106585326,0.0,0.1052644118852838,0.004045123170199868,0.34083828640789376,0.49547572535738565,0.7528077145572726,0.49617804018817,0.5879083236941922,0.24088924153210542,0.058770202220479024,0.410904853205257,0.5800453384804429,0.8007402220211812,0.660310302906042,0.6525788307810539,0.49989839777126427,0.7380363055175564,0.616697471054549,0.4620491051230663,0.01765143822071543,0.7450946701103626,0.5879083236941922,0.10922271148137748,0.03166577332917085,0.051124187063299034,0.0249338641192519,0.07473355972665818,0.12457622477898198,0.09097857438087936,0.12457622477898198,0.644342118893505,0.34083828640789376,0.49547572535738565,0.3549162388757052,0.3102323769577484,0.11295307478656705,0.17577122559445452
ppg_infra_skew,0.09302042340254912,0.032975204474340124,0.054610352626848664,0.10121364388738709,0.03332660930785774,0.33306086099164756,0.08334430364053083,0.1052644118852838,0.0,0.030787833634412586,0.13733646563186652,0.002366421637543179,0.0452013553151317,0.002971109292251976,0.03263221396057,0.0028465547827429714,0.03140537603275783,0.049797722979059926,0.007934587990575968,0.05245626032270111,0.04608722103975702,0.07023088028622082,0.0994888739363419,0.049955282227580416,0.03496950921514962,0.02208638447933,0.14126202542589328,0.049434831554485595,0.03263221396057,0.06521834757718664,0.12394010996315788,0.098974052080517,0.11696853220415962,0.05031008987274512,0.05789496824109436,0.06709751291345581,0.05789496824109436,0.030812820657064158,0.13733646563186652,0.002366421637543179,0.10183679754760075,0.05092663353249205,0.06952615767011408,0.0034991483339657185
ppg_infra_kurtosis,0.0556186533871899,0.25349615220862587,0.273357725379042,0.29093755310335984,0.2928477725447151,0.012705589092695032,0.024924495713678402,0.004045123170199868,0.030787833634412586,0.0,0.21745142234927056,0.2403170859684958,0.16521582564495418,0.24088773962539536,0.25364555963298685,0.22839778146095457,0.04550011004058904,0.2555019462515968,0.24678837694620734,0.17088183769204288,0.20035198216477082,0.2266601331116874,0.29570498678824614,0.19124109584673915,0.24031371244332192,0.27992158499275355,0.1515522646226374,0.20262612618773773,0.25364555963298685,0.8219011083797121,0.7682293704662151,0.8892390315923545,0.8523389956229521,0.06610235063764135,0.17831565054438483,0.17056275188493356,0.17831565054438483,0.2226610693173331,0.21745142234927056,0.2403170859684958,0.18130975834380517,0.19114369614589383,0.7232799778840191,0.5659315033523108
