,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
ppg_red_hr_std,-0.2948786317289288,-0.39804201144977297,0.002307214249864556,0.21246734902385808,0.06630135530824875,0.042302940054657207,-0.1311833186166306,-0.25394456645773195,0.48606774182716606,0.6183212935925786,0.054736330779987505
ppg_red_hr_range,-0.3453666507610243,-0.32160315155927494,-0.16278899298316482,-0.013217905944287367,0.07518234544530494,0.07597628571860483,-0.5839993679430177,0.46815666649944737,-0.30330752098666525,-0.09767719311414469,0.2782648497915683
ppg_red_hr_min,-0.43259532777968185,0.16186044195138446,0.13214953429093704,-0.07016185072023844,0.18127610844715672,-0.14171806417359167,0.469731247174389,0.22727014545911808,0.28835456216112687,-0.17246930575797437,0.5710850017826133
ppg_red_rmssd,0.15780107499382828,-0.4631077959759438,-0.10621370684057305,0.1864860641719724,-0.13866468003380175,0.1219289856905394,0.6020264773563915,0.3365659109663849,-0.36276294247641566,0.27036917982466585,0.008250918102779004
ppg_red_n_peaks,-0.3474742699559692,0.045968377546194684,-0.18745707585303037,-0.2603027737334081,-0.8659455940845404,0.08606515257797497,0.04539847561901527,-0.11598090118080365,0.025344971568900934,-0.018856550149282707,0.02171037047959577
ppg_red_mean_ibi,0.4517788986220873,-0.06848566047623914,-0.1577998484444288,0.03134632529339234,-0.2018889485366546,0.09899722180972398,-0.10306221034952645,0.510360900730372,0.6496834853644551,-0.14691443517590025,-9.331868395570655e-05
ppg_red_pnn50,0.1443271833981166,-0.3975823975221331,0.1484519846025831,-0.30774243652010813,-0.09881795156779569,-0.8311056712690076,-0.03928585719538686,-0.024964507735048463,0.008879950467037845,-0.04008761749229264,0.0006341601074280399
ppg_red_pnn20,0.08258448624007264,-0.2895990346181244,0.3491379661429451,-0.7331565151666568,0.15306448111028595,0.4683959356913587,0.043013107763639334,-0.04829947448075904,0.053696577310479394,0.002301990978471357,-0.0011534493012457007
ppg_red_cv_ibi,-0.07216929598198282,-0.4979282091536403,-0.032518418183755934,0.3041899458308531,0.005179608769829332,0.14787252128299921,0.08929999824162813,-0.37393254597959785,0.10678236522278908,-0.6868702873702964,-0.019588411362255167
ppg_red_hr_max,-0.4721323674942977,-0.016302031812918946,-0.0014693993458011604,-0.06787394819702473,0.15239030814886131,-0.07805591137882505,0.13857288946330468,0.3228283824789354,0.1346275269623379,-0.09908857087746636,-0.7691144140523681
ppg_red_peak_quality,0.033438267459198846,-0.022920249939553928,-0.8600661046366508,-0.34187829714182666,0.3013279732866109,-0.04679017367704084,0.12409298514760399,-0.17462406347846526,0.04215652857886113,0.011476736107884975,0.031187838827794485
