PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.5447570116290205,0.5447570116290205
PC2,0.15588130552333776,0.7006383171523582
PC3,0.04844446137481163,0.7490827785271699
PC4,0.04281363485425926,0.7918964133814291
PC5,0.03813768342666991,0.830034096808099
PC6,0.023687393144092805,0.8537214899521919
PC7,0.02099909341854872,0.8747205833707405
PC8,0.01886195491958528,0.8935825382903259
PC9,0.015512518747582348,0.9090950570379082
PC10,0.01202627070969418,0.9211213277476024
PC11,0.010594074338297791,0.9317154020859002
PC12,0.009001321121674049,0.9407167232075743
PC13,0.008221747544458435,0.9489384707520327
PC14,0.0076332399271698045,0.9565717106792025
PC15,0.006044803725592104,0.9626165144047947
PC16,0.005773341441817803,0.9683898558466125
PC17,0.004999234670457452,0.97338909051707
PC18,0.004067518746134125,0.9774566092632041
PC19,0.003762658757339171,0.9812192680205433
PC20,0.003254364333686977,0.9844736323542302
PC21,0.002851424343923467,0.9873250566981537
PC22,0.0023643273215899247,0.9896893840197437
PC23,0.0021582609731702904,0.991847644992914
PC24,0.001947211092592159,0.9937948560855061
PC25,0.0018193599071260394,0.9956142159926321
PC26,0.001490258887768059,0.9971044748804002
PC27,0.0012933103400908437,0.998397785220491
PC28,0.0010514752193045776,0.9994492604397957
PC29,0.0005507395602045668,1.0000000000000002
