feature,pca_energy_score
ppg_dx_kurtosis,0.19027993552480163
ppg_clearance_factor,0.18491521322605772
ppg_tke_std,0.1834114424868346
ppg_p90_p10,0.18323497886118303
ppg_p10,0.18239338089474508
ppg_iqr,0.178249703002139
ppg_p95_p5,0.1781924053211644
ppg_p99,0.17651638899728703
ppg_mad,0.17413356335481475
ppg_tke_p95_abs,0.17317283148514276
ppg_ddx_kurtosis,0.1721503786564766
ppg_kurtosis,0.16644277421673045
ppg_diff_mean_abs,0.16588287355035047
ppg_std,0.16557256168338413
ppg_p99_p1,0.16515586001585777
ppg_skew,0.1628821985343945
ppg_shape_factor,0.15695231124664505
ppg_p95,0.12711746434248936
ppg_dx_mean,0.11581508628668169
ppg_mean_cross_rate,0.10553300455073288
ppg_ddx_mean,0.09965327600982711
